Nr_iteracji,x1(0),x2(0),SD_005_x1,SD_005_x2,SD_005_y,SD_005_fc,SD_005_gc,SD_005_glob,SD_025_x1,SD_025_x2,SD_025_y,SD_025_fc,SD_025_gc,SD_025_glob,SD_Var_x1,SD_Var_x2,SD_Var_y,SD_Var_fc,SD_Var_gc,SD_Var_glob,CG_005_x1,CG_005_x2,CG_005_y,CG_005_fc,CG_005_gc,CG_005_glob,CG_025_x1,CG_025_x2,CG_025_y,CG_025_fc,CG_025_gc,CG_025_glob,CG_Var_x1,CG_Var_x2,CG_Var_y,CG_Var_fc,CG_Var_gc,CG_Var_glob,Newt_005_x1,Newt_005_x2,Newt_005_y,Newt_005_fc,Newt_005_gc,Newt_005_glob,Newt_025_x1,Newt_025_x2,Newt_025_y,Newt_025_fc,Newt_025_gc,Newt_025_glob,Newt_Var_x1,Newt_Var_x2,Newt_Var_y,Newt_Var_fc,Newt_Var_gc,Newt_Var_glob
1,-1.68862,0.595682,-1.74754,0.87369,0.298638,82,81,NIE,-1.52534,0.760828,0.486818,10000,9999,NIE,-1.74755,0.87376,0.298638,25,24,NIE,-1.74755,0.87376,0.298638,29,28,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,9,8,NIE,-1.74752,0.873598,0.298638,144,143,NIE,-1.74755,0.873749,0.298638,33,32,NIE,-1.74755,0.873776,0.298638,5,4,NIE
2,-0.511119,-0.693493,4.1902e-05,-0.00010116,9.50615e-09,101,100,TAK,5.70385e-06,-1.37703e-05,1.76146e-10,21,20,TAK,5.85492e-07,-1.04723e-06,1.16915e-12,12,11,TAK,1.1152e-05,-1.56265e-05,3.18655e-10,33,32,TAK,1.33665e-06,-4.79834e-06,2.01837e-11,13,12,TAK,2.4875e-07,-1.28501e-07,1.08301e-13,8,7,TAK,-7.42884e-05,-0.0001737,5.41131e-08,165,164,TAK,2.00057e-06,-2.36236e-05,5.18821e-10,38,37,TAK,1.26795e-12,-5.68306e-12,2.83067e-23,5,4,TAK
3,0.743478,0.199855,4.31542e-05,-0.000104183,1.00827e-08,92,91,TAK,3.56157e-06,-8.5984e-06,6.86783e-11,22,21,TAK,4.10721e-07,-8.13273e-07,6.64768e-13,10,9,TAK,6.16154e-06,-2.69336e-05,6.35396e-10,31,30,TAK,-1.34442e-06,5.52487e-06,2.67114e-11,14,13,TAK,7.6161e-07,-1.0116e-06,1.41299e-12,12,11,TAK,1.07048,-0.5351,0.877362,163,162,NIE,1.07054,-0.53525,0.877362,37,36,NIE,1.31304,-0.656518,0.75019,3,2,NIE
4,0.864869,-1.6072,4.15512e-05,-0.000100314,9.34767e-09,130,129,TAK,5.78485e-06,-1.39659e-05,1.81184e-10,28,27,TAK,-1.76536e-07,-3.47338e-06,1.27399e-11,19,18,TAK,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74753,0.873648,0.298638,252,251,NIE,1.07051,-0.535458,0.877362,170,169,NIE,1.07054,-0.535297,0.877362,38,37,NIE,1.11872,-0.559367,0.872251,3,2,NIE
5,-1.2461,-1.27258,-4.42915e-05,0.000106925,1.06205e-08,90,89,TAK,-4.82506e-06,1.16487e-05,1.26049e-10,24,23,TAK,-6.96565e-07,6.42308e-06,3.77522e-11,17,16,TAK,-nan,-nan,-nan,10000,10000,NIE,1.16362e-06,-3.92461e-06,1.35438e-11,22,21,TAK,2.59928e-06,-5.36476e-06,2.83486e-11,28,27,TAK,-1.07056,0.535085,0.877362,180,179,NIE,-1.07054,0.535247,0.877362,40,39,NIE,-1.05635,0.528167,0.876923,3,2,NIE
6,-1.19469,1.40245,-1.74756,0.873863,0.298638,84,83,NIE,-1.51446,0.854704,0.510626,10000,9999,NIE,-1.74755,0.873762,0.298638,30,29,NIE,-1.74755,0.873794,0.298638,27,26,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873787,0.298638,11,10,NIE,-1.07057,0.535454,0.877362,166,165,NIE,-1.07055,0.535299,0.877362,37,36,NIE,-1.06754,0.533773,0.877342,3,2,NIE
7,-0.285786,-1.58874,4.25781e-05,-0.000102793,9.8154e-09,115,114,TAK,4.95329e-06,-1.19583e-05,1.32838e-10,24,23,TAK,1.72261e-06,-2.52314e-06,7.95462e-12,16,15,TAK,2.90428e-06,-2.02916e-05,3.69685e-10,36,35,TAK,1.33774e-06,-2.14484e-06,5.3102e-12,15,14,TAK,-4.01211e-07,3.73851e-07,3.11712e-13,9,8,TAK,-2.91967e-05,-0.000182887,4.04922e-08,178,177,TAK,-4.33403e-06,-2.87918e-05,9.9132e-10,39,38,TAK,-1.32342e-15,-5.81852e-15,4.50584e-29,5,4,TAK
8,0.104828,-1.95922,4.28685e-05,-0.000103494,9.94976e-09,119,118,TAK,4.38693e-06,-1.0591e-05,1.04198e-10,25,24,TAK,2.30653e-06,-2.51299e-06,1.1159e-11,18,17,TAK,1.08125e-06,-1.49806e-05,2.10558e-10,37,36,TAK,-6.62356e-07,2.61293e-06,5.97415e-12,15,14,TAK,-3.12168e-07,-2.11674e-06,5.33628e-12,9,8,TAK,9.5992e-06,-0.000181925,3.15345e-08,182,181,TAK,1.37735e-06,-2.62567e-05,6.57042e-10,40,39,TAK,-1.33609e-14,-2.08731e-14,1.0716e-27,4,3,TAK
9,0.125304,-1.99436,4.39469e-05,-0.000106097,1.04566e-08,119,118,TAK,4.51523e-06,-1.09007e-05,1.10381e-10,25,24,TAK,2.32017e-06,-2.4814e-06,1.11665e-11,18,17,TAK,2.97323e-06,-2.24639e-05,4.55516e-10,36,35,TAK,-2.47777e-06,4.4613e-06,2.11278e-11,14,13,TAK,-4.08428e-07,-4.04807e-06,1.83738e-11,9,8,TAK,1.14036e-05,-0.000185139,3.24255e-08,182,181,TAK,1.6319e-06,-2.67178e-05,6.75565e-10,40,39,TAK,6.93816e-14,-1.8954e-13,3.24023e-26,4,3,TAK
10,-0.152244,0.166342,-4.43108e-05,0.000106976,1.06305e-08,92,91,TAK,-5.59478e-06,1.3507e-05,1.69473e-10,20,19,TAK,-3.96698e-06,4.40143e-06,3.33861e-11,15,14,TAK,-1.10037e-05,2.39729e-05,5.53071e-10,30,29,TAK,-1.087e-06,2.01053e-06,4.21994e-12,13,12,TAK,-1.10658e-08,3.03713e-08,8.31238e-16,6,5,TAK,-0.000124514,0.000138318,3.29169e-08,139,138,TAK,-1.95256e-05,2.18466e-05,8.13206e-10,32,31,TAK,1.52015e-15,9.99615e-14,1.01489e-26,4,3,TAK
11,-1.53855,0.342301,-1.74754,0.87369,0.298638,89,88,NIE,-1.7354,0.777641,0.307591,10000,9999,NIE,-1.74755,0.873763,0.298638,33,32,NIE,-1.74755,0.873759,0.298638,29,28,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873775,0.298638,12,11,NIE,-1.74751,0.873598,0.298638,155,154,NIE,-1.74755,0.873751,0.298638,35,34,NIE,-1.74755,0.873776,0.298638,5,4,NIE
12,-0.718399,1.32175,-4.13969e-05,9.99408e-05,9.27833e-09,119,118,TAK,-4.78402e-06,1.15496e-05,1.23914e-10,25,24,TAK,-3.19146e-07,1.09567e-06,1.05452e-12,13,12,TAK,-8.67832e-06,1.43744e-05,2.32504e-10,33,32,TAK,4.03066e-07,-2.21327e-06,4.33138e-12,16,15,TAK,2.39696e-07,-1.1732e-06,1.21009e-12,14,13,TAK,-1.07049,0.535447,0.877362,166,165,NIE,-1.07054,0.535298,0.877362,37,36,NIE,-1.40571,0.70286,0.644092,3,2,NIE
13,-0.129677,1.58896,-4.10378e-05,9.9074e-05,9.11808e-09,117,116,TAK,-5.66761e-06,1.36828e-05,1.73914e-10,24,23,TAK,-2.20567e-06,2.26405e-06,9.86211e-12,18,17,TAK,-2.29931e-06,1.98079e-05,3.57382e-10,36,35,TAK,-8.09769e-07,4.10508e-06,1.4839e-11,14,13,TAK,1.67944e-07,7.38832e-07,7.26366e-13,9,8,TAK,-1.44679e-05,0.000181054,3.05796e-08,178,177,TAK,-2.24706e-06,2.83724e-05,7.51339e-10,39,38,TAK,-8.56268e-15,2.93748e-13,8.39192e-26,4,3,TAK
14,-0.0023361,-0.593563,4.23521e-05,-0.000102247,9.71147e-09,104,103,TAK,5.24961e-06,-1.26737e-05,1.49207e-10,22,21,TAK,4.20959e-06,-5.0838e-06,3.98856e-11,16,15,TAK,2.08707e-06,-1.7337e-05,2.73099e-10,34,33,TAK,7.2369e-07,-2.39347e-06,5.04401e-12,14,13,TAK,5.04006e-10,-1.09244e-09,1.15087e-18,6,5,TAK,-7.43179e-07,-0.000188831,3.57985e-08,158,157,TAK,-9.89989e-08,-2.51542e-05,6.35246e-10,36,35,TAK,9.32273e-14,-1.38776e-11,1.91312e-22,3,2,TAK
15,0.513674,-1.04313,4.22274e-05,-0.000101946,9.65439e-09,114,113,TAK,4.63108e-06,-1.11804e-05,1.16118e-10,24,23,TAK,2.67335e-07,3.37748e-08,1.53106e-13,8,7,TAK,9.699e-06,-1.6377e-05,2.97507e-10,36,35,TAK,2.04482e-06,-3.67446e-06,1.43506e-11,14,13,TAK,9.11879e-07,-1.96994e-06,3.74735e-12,11,10,TAK,6.02467e-05,-0.000172406,2.65963e-08,169,168,TAK,-3.76426e-06,-2.31094e-05,6.49372e-10,37,36,TAK,-4.4548e-14,-8.2481e-14,1.44465e-26,5,4,TAK
16,-1.54279,0.825057,-1.74754,0.873688,0.298638,69,68,NIE,-1.55772,0.858342,0.451562,10000,9999,NIE,-1.74755,0.873776,0.298638,6,5,NIE,-1.74755,0.873757,0.298638,27,26,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873774,0.298638,7,6,NIE,-1.74736,0.873779,0.298639,124,123,NIE,-1.74753,0.873796,0.298638,27,26,NIE,-1.74755,0.873776,0.298638,4,3,NIE
17,1.55255,-0.0539057,1.74754,-0.873689,0.298638,93,92,NIE,1.86503,-0.806536,0.413166,10000,9999,NIE,1.74755,-0.873773,0.298638,17,16,NIE,1.74755,-0.873753,0.298638,31,30,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873769,0.298638,12,11,NIE,1.74753,-0.873595,0.298638,164,163,NIE,1.74755,-0.873752,0.298638,37,36,NIE,1.74755,-0.873776,0.298638,6,5,NIE
18,-1.86844,0.296025,-1.74754,0.87369,0.298638,89,88,NIE,-1.8804,0.80065,0.447577,10000,9999,NIE,-1.74755,0.873767,0.298638,22,21,NIE,-1.74755,0.873757,0.298638,31,30,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873782,0.298638,10,9,NIE,-1.74761,0.8736,0.298638,158,157,NIE,-1.74756,0.873753,0.298638,36,35,NIE,-1.74755,0.873776,0.298638,5,4,NIE
19,-1.85405,0.996432,-1.74756,0.873864,0.298638,74,73,NIE,-1.42863,0.864325,0.637325,10000,9999,NIE,-1.74755,0.873781,0.298638,12,11,NIE,-1.74755,0.873799,0.298638,27,26,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873777,0.298638,7,6,NIE,-1.74768,0.873907,0.298639,137,136,NIE,-1.74757,0.873796,0.298638,32,31,NIE,-1.74755,0.873776,0.298638,5,4,NIE
20,0.688824,-1.10015,4.3386e-05,-0.000104743,1.01914e-08,116,115,TAK,3.72286e-06,-8.98778e-06,7.50393e-11,25,24,TAK,9.24646e-08,-2.51253e-07,5.69954e-14,9,8,TAK,9.72785e-06,-2.23576e-05,4.71634e-10,35,34,TAK,-7.57711e-07,3.34687e-06,9.81381e-12,14,13,TAK,-2.88263e-07,-3.06378e-06,1.04361e-11,18,17,TAK,1.07047,-0.535441,0.877362,161,160,NIE,1.07053,-0.535299,0.877362,36,35,NIE,1.74755,-0.873776,0.298638,4,3,NIE
21,1.72385,1.49414,1.74754,-0.873682,0.298638,103,102,NIE,3.66322e-06,-8.84378e-06,7.26541e-11,30,29,TAK,1.82139e-07,-5.88639e-06,3.36438e-11,17,16,TAK,1.74755,-0.873793,0.298638,37,36,NIE,nan,nan,nan,10000,10000,NIE,4.45382e-06,-6.22259e-06,5.06793e-11,22,21,TAK,1.74755,-0.873588,0.298638,185,184,NIE,1.74755,-0.873752,0.298638,41,40,NIE,1.74755,-0.873776,0.298638,4,3,NIE
22,-1.6977,-0.561934,-1.74754,0.873686,0.298638,98,97,NIE,-1.78207,0.815535,0.311719,10000,9999,NIE,-1.74755,0.873764,0.298638,23,22,NIE,-1.74755,0.873758,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873773,0.298638,12,11,NIE,-1.74755,0.873595,0.298638,176,175,NIE,-1.74755,0.873751,0.298638,39,38,NIE,-1.74755,0.873776,0.298638,5,4,NIE
23,1.9054,0.407127,1.74754,-0.873689,0.298638,97,96,NIE,4.61635e-06,-1.11449e-05,1.15381e-10,25,24,TAK,4.77195e-07,-9.55291e-07,9.12151e-13,10,9,TAK,1.74755,-0.873758,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,8.01714e-07,-1.35919e-06,2.04321e-12,12,11,TAK,1.74759,-0.873593,0.298638,173,172,NIE,1.74756,-0.873747,0.298638,38,37,NIE,1.74755,-0.873776,0.298638,6,5,NIE
24,-0.521157,0.0307003,-4.25676e-05,0.000102767,9.81055e-09,95,94,TAK,-5.03252e-06,1.21496e-05,1.37122e-10,21,20,TAK,-6.61108e-08,1.76346e-07,2.81808e-14,8,7,TAK,1.46912e-07,1.56246e-05,2.46466e-10,32,31,TAK,2.37213e-06,-3.40324e-06,1.47631e-11,12,11,TAK,4.65388e-07,-1.07278e-06,1.08477e-12,9,8,TAK,-0.000182663,-3.724e-05,7.49205e-08,147,146,TAK,1.32823e-05,-1.96303e-05,4.7745e-10,35,34,TAK,-7.31592e-12,-6.90398e-13,1.12573e-22,4,3,TAK
25,0.412768,1.3266,-4.2393e-05,0.000102346,9.73023e-09,112,111,TAK,-3.64409e-06,8.79762e-06,7.18976e-11,24,23,TAK,-3.27666e-06,5.13936e-06,3.10461e-11,14,13,TAK,-6.16213e-06,2.39039e-05,5.00041e-10,35,34,TAK,-1.50013e-06,5.5884e-06,2.73477e-11,14,13,TAK,-2.58407e-08,4.33793e-08,2.09629e-15,8,7,TAK,4.31025e-05,0.000182362,4.48316e-08,175,174,TAK,4.76046e-06,2.5027e-05,7.90815e-10,39,38,TAK,-1.1221e-11,1.29292e-11,2.73907e-22,5,4,TAK
26,-1.80296,0.874223,-1.74756,0.873862,0.298638,42,41,NIE,-1.88924,0.827555,0.4618,10000,9999,NIE,-1.74755,0.873776,0.298638,6,5,NIE,-1.74756,0.873795,0.298638,20,19,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873776,0.298638,5,4,NIE,-1.74774,0.873791,0.298639,115,114,NIE,-1.74758,0.873779,0.298638,28,27,NIE,-1.74755,0.873776,0.298638,5,4,NIE
27,-0.3311,-0.521357,4.43091e-05,-0.000106972,1.06297e-08,98,97,TAK,5.23687e-06,-1.26429e-05,1.48484e-10,21,20,TAK,-6.70675e-07,-1.26036e-06,3.3334e-12,11,10,TAK,8.34971e-06,-1.33997e-05,2.07103e-10,33,32,TAK,1.72618e-06,-5.43721e-06,2.61371e-11,13,12,TAK,-3.87295e-07,-8.78687e-07,1.4124e-12,7,6,TAK,-8.61345e-05,-0.000164533,5.60813e-08,159,158,TAK,-1.11237e-05,-2.35481e-05,1.06393e-09,36,35,TAK,-9.07058e-15,-1.05495e-14,3.71533e-28,5,4,TAK
28,0.195973,1.53922,-4.23194e-05,0.000102168,9.69646e-09,115,114,TAK,-4.95639e-06,1.19658e-05,1.33005e-10,24,23,TAK,-2.85361e-06,4.01596e-06,2.09541e-11,16,15,TAK,-2.25907e-06,1.98207e-05,3.58289e-10,36,35,TAK,-1.304e-06,2.05133e-06,4.93385e-12,15,14,TAK,4.6453e-07,-4.30335e-07,4.1686e-13,9,8,TAK,2.23644e-05,0.000185361,3.95046e-08,177,176,TAK,3.2568e-06,2.76422e-05,8.75332e-10,39,38,TAK,2.48375e-12,1.93515e-11,4.34884e-22,4,3,TAK
29,-0.932392,-1.80636,4.30761e-05,-0.000103995,1.00464e-08,113,112,TAK,5.05191e-06,-1.21964e-05,1.38181e-10,23,22,TAK,-3.72193e-07,-5.06843e-06,2.78524e-11,15,14,TAK,9.9401e-06,-2.40398e-05,5.36567e-10,35,34,TAK,5.9973e-08,2.07972e-06,4.45715e-12,16,15,TAK,9.8017e-08,-5.13773e-07,2.32819e-13,9,8,TAK,-1.07053,0.535085,0.877362,185,184,NIE,-1.07054,0.535248,0.877362,41,40,NIE,-1.08576,0.542868,0.876854,3,2,NIE
30,-1.05434,1.58128,-1.74756,0.873864,0.298638,84,83,NIE,-1.85419,0.843164,0.385486,10000,9999,NIE,-1.74755,0.873765,0.298638,29,28,NIE,-1.74755,0.87376,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873761,0.298638,26,25,NIE,-1.07054,0.53546,0.877362,169,168,NIE,-1.07054,0.535296,0.877362,38,37,NIE,-1.07063,0.53532,0.877362,3,2,NIE
31,-0.849498,-0.597127,4.22608e-05,-0.000102039,9.67159e-09,80,79,TAK,-4.47916e-06,1.08136e-05,1.08625e-10,20,19,TAK,-1.11333e-06,1.77662e-06,3.65743e-12,14,13,TAK,-7.90708e-06,2.77361e-05,6.75022e-10,31,30,TAK,-7.3752e-07,3.95366e-06,1.38034e-11,15,14,TAK,-3.36542e-07,4.63042e-07,2.85096e-13,12,11,TAK,-1.07051,0.535089,0.877362,171,170,NIE,-1.07054,0.535245,0.877362,38,37,NIE,-1.13083,0.565412,0.869349,3,2,NIE
32,0.406339,-1.29695,4.43849e-05,-0.000107155,1.06661e-08,115,114,TAK,5.18946e-06,-1.25285e-05,1.45807e-10,24,23,TAK,8.93352e-07,-3.41665e-06,1.02174e-11,13,12,TAK,1.01057e-05,-2.02751e-05,4.10436e-10,36,35,TAK,1.09338e-06,-4.28383e-06,1.60583e-11,14,13,TAK,-2.95028e-08,7.03951e-08,4.61945e-15,8,7,TAK,4.5039e-05,-0.000175668,2.70045e-08,174,173,TAK,6.40097e-06,-2.92739e-05,7.51522e-10,38,37,TAK,-2.28498e-12,-1.42992e-12,1.57543e-23,5,4,TAK
33,1.34897,0.537903,1.74754,-0.873689,0.298638,100,99,NIE,1.84116,-0.797465,0.373935,10000,9999,NIE,1.74755,-0.873776,0.298638,12,11,NIE,1.74755,-0.873793,0.298638,31,30,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873775,0.298638,11,10,NIE,1.07058,-0.535094,0.877362,171,170,NIE,1.07055,-0.535245,0.877362,38,37,NIE,0.958392,-0.47919,0.850702,3,2,NIE
34,0.999075,1.49492,-4.36985e-05,0.000105498,1.03388e-08,108,107,TAK,-3.91825e-06,9.4595e-06,8.31229e-11,22,21,TAK,-2.10881e-07,-4.73155e-06,2.34743e-11,15,14,TAK,-1.2246e-05,1.47056e-05,3.36097e-10,34,33,TAK,-3.54658e-08,-2.48098e-06,6.24578e-12,16,15,TAK,-3.20401e-07,3.77791e-07,2.26995e-13,9,8,TAK,1.07054,-0.535083,0.877362,182,181,NIE,1.07054,-0.535244,0.877362,40,39,NIE,1.07326,-0.536619,0.877345,3,2,NIE
35,-0.465665,-0.312101,4.34065e-05,-0.000104795,1.02015e-08,82,81,TAK,5.50288e-06,-1.32851e-05,1.63952e-10,17,16,TAK,1.88931e-07,-3.91086e-07,1.50449e-13,8,7,TAK,9.27048e-06,-2.49074e-05,5.61357e-10,29,28,TAK,1.41326e-06,-2.3118e-06,6.07184e-12,12,11,TAK,3.24002e-08,-3.52722e-08,2.20085e-15,6,5,TAK,-0.000125356,-0.000139521,6.83842e-08,155,154,TAK,-1.14658e-05,-2.50583e-05,1.17816e-09,35,34,TAK,-1.13814e-14,-5.14353e-15,3.44068e-28,5,4,TAK
36,-1.60523,-0.741813,-1.74754,0.873682,0.298638,99,98,NIE,-1.40811,0.864972,0.666963,10000,9999,NIE,-1.74755,0.873764,0.298638,15,14,NIE,-1.74755,0.873756,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873772,0.298638,11,10,NIE,-1.74754,0.873595,0.298638,178,177,NIE,-1.74755,0.873748,0.298638,39,38,NIE,-1.74755,0.873776,0.298638,6,5,NIE
37,-0.817963,-1.30293,4.40576e-05,-0.000106365,1.05094e-08,108,107,TAK,5.53995e-06,-1.33746e-05,1.66168e-10,22,21,TAK,2.53874e-06,-3.7437e-06,1.74014e-11,14,13,TAK,1.19884e-05,-2.06146e-05,4.65267e-10,34,33,TAK,-4.59132e-06,3.91472e-06,3.95118e-11,14,13,TAK,7.8852e-08,-3.41706e-07,1.02254e-13,9,8,TAK,-1.07052,0.535084,0.877362,180,179,NIE,-1.07054,0.535247,0.877362,40,39,NIE,-1.16362,0.581801,0.858235,3,2,NIE
38,0.696253,-0.912566,4.42855e-05,-0.000106915,1.06184e-08,114,113,TAK,5.32709e-06,-1.28607e-05,1.53644e-10,24,23,TAK,2.72799e-07,2.23946e-07,2.60083e-13,8,7,TAK,1.29907e-05,-1.94959e-05,4.64343e-10,35,34,TAK,-1.82014e-07,2.30846e-06,4.97508e-12,14,13,TAK,-3.29046e-06,7.29503e-06,5.08677e-11,15,14,TAK,1.07045,-0.535432,0.877362,155,154,NIE,1.07053,-0.535298,0.877362,35,34,NIE,1.74755,-0.873776,0.298638,4,3,NIE
39,1.10419,-1.8249,1.74756,-0.873864,0.298638,91,90,NIE,1.34152,-0.860192,0.756017,10000,9999,NIE,1.74755,-0.873764,0.298638,29,28,NIE,1.74756,-0.873797,0.298638,30,29,NIE,nan,nan,nan,10000,10000,NIE,1.74755,-0.873783,0.298638,12,11,NIE,1.07055,-0.535452,0.877362,174,173,NIE,1.07054,-0.535294,0.877362,39,38,NIE,1.07072,-0.535376,0.877361,3,2,NIE
40,1.11813,-0.483037,1.74754,-0.873684,0.298638,96,95,NIE,1.87688,-0.837764,0.430733,10000,9999,NIE,1.74755,-0.873776,0.298638,10,9,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74756,-0.873863,0.298638,149,148,NIE,1.07067,-0.535136,0.877362,117,116,NIE,1.07056,-0.535249,0.877362,28,27,NIE,1.0722,-0.533846,0.877361,3,2,NIE
41,1.50169,1.31518,1.74754,-0.873682,0.298638,103,102,NIE,1.26676,-0.885622,0.856748,10000,9999,NIE,1.74755,-0.873766,0.298638,24,23,NIE,1.74755,-0.873799,0.298638,37,36,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74756,-0.873824,0.298638,39,38,NIE,1.74754,-0.87359,0.298638,183,182,NIE,1.74758,-0.87376,0.298638,40,39,NIE,1.74755,-0.873776,0.298638,7,6,NIE
42,-1.60881,-0.829405,-1.74754,0.873686,0.298638,100,99,NIE,-1.62519,0.853063,0.369802,10000,9999,NIE,-1.74755,0.87377,0.298638,17,16,NIE,-1.74755,0.873755,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873769,0.298638,11,10,NIE,-1.74754,0.873594,0.298638,179,178,NIE,-1.74755,0.873746,0.298638,39,38,NIE,-1.74755,0.873776,0.298638,6,5,NIE
43,-1.20618,0.587159,-1.74754,0.873683,0.298638,88,87,NIE,-1.53427,0.882234,0.488418,10000,9999,NIE,-1.74755,0.873774,0.298638,12,11,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74756,0.873797,0.298638,33,32,NIE,-1.07072,0.535337,0.877361,131,130,NIE,-1.07057,0.53528,0.877362,31,30,NIE,-1.20618,0.587159,0.837039,2,1,NIE
44,-1.29018,-0.138572,-1.74754,0.873687,0.298638,97,96,NIE,-1.44642,0.839369,0.605078,10000,9999,NIE,-1.74755,0.873776,0.298638,7,6,NIE,-1.74755,0.873794,0.298638,28,27,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74756,0.873789,0.298638,17,16,NIE,-1.0706,0.535095,0.877362,162,161,NIE,-1.07055,0.535249,0.877362,37,36,NIE,-1.0334,0.516697,0.87437,3,2,NIE
45,0.780796,-0.344523,4.12933e-05,-9.96909e-05,9.23199e-09,109,108,TAK,3.64138e-06,-8.79107e-06,7.17906e-11,24,23,TAK,5.77235e-07,-2.01318e-06,3.55723e-12,12,11,TAK,1.78621e-06,1.73284e-05,3.37608e-10,42,41,TAK,-nan,-nan,-nan,10000,10000,NIE,1.47372e-06,-3.1235e-06,9.49678e-12,21,20,TAK,1.07039,-0.535166,0.877362,144,143,NIE,1.07052,-0.535256,0.877362,33,32,NIE,0.780798,-0.344524,0.716497,2,1,NIE
46,-0.557289,1.9313,-4.40586e-05,0.000106367,1.05099e-08,121,120,TAK,-5.80036e-06,1.40033e-05,1.82157e-10,25,24,TAK,-2.47633e-06,1.70385e-06,1.09483e-11,16,15,TAK,-5.21454e-07,-1.42079e-05,2.09817e-10,34,33,TAK,1.15205e-06,-2.08183e-06,4.59006e-12,17,16,TAK,5.36157e-08,1.37245e-06,1.96296e-12,11,10,TAK,3.84928e-05,0.000179151,4.19545e-08,177,176,TAK,1.74758,-0.873789,0.298638,56,55,NIE,-2.89164e-15,4.29884e-15,2.27725e-29,5,4,TAK
47,1.05835,1.84905,-4.23605e-05,0.000102267,9.71533e-09,112,111,TAK,-3.61369e-06,8.72421e-06,7.07027e-11,23,22,TAK,-3.36417e-08,-5.18946e-06,2.71074e-11,15,14,TAK,-9.75227e-06,1.70004e-05,3.13435e-10,35,34,TAK,-6.62663e-08,-2.51881e-06,6.5201e-12,16,15,TAK,-1.08178e-07,1.46036e-07,2.89336e-14,9,8,TAK,1.07054,-0.535081,0.877362,185,184,NIE,1.07054,-0.535247,0.877362,41,40,NIE,1.07059,-0.535284,0.877362,3,2,NIE
48,-1.36565,0.407318,-1.74754,0.873689,0.298638,89,88,NIE,-1.59394,0.840369,0.403648,10000,9999,NIE,-1.74755,0.873757,0.298638,30,29,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873774,0.298638,10,9,NIE,-1.07071,0.535182,0.877362,145,144,NIE,-1.07057,0.535255,0.877362,33,32,NIE,-1.36565,0.407318,0.768666,2,1,NIE
49,0.386953,1.63342,-4.24822e-05,0.000102561,9.77124e-09,115,114,TAK,-4.84083e-06,1.16868e-05,1.26875e-10,24,23,TAK,7.83692e-07,4.08307e-06,2.10997e-11,15,14,TAK,-7.51204e-06,2.77256e-05,6.73295e-10,35,34,TAK,-1.34196e-06,2.17912e-06,5.42598e-12,15,14,TAK,3.30389e-08,-1.18986e-07,1.24097e-14,8,7,TAK,3.39916e-05,0.000180936,4.11991e-08,179,178,TAK,3.64461e-06,2.26742e-05,6.23323e-10,40,39,TAK,-5.53334e-13,5.76117e-13,6.25483e-25,5,4,TAK
50,-0.0977646,1.92129,-4.19077e-05,0.000101174,9.50874e-09,119,118,TAK,-4.26875e-06,1.03057e-05,9.8659e-11,25,24,TAK,-2.30925e-06,2.52884e-06,1.12206e-11,18,17,TAK,-1.06253e-06,1.48673e-05,2.07496e-10,37,36,TAK,6.1332e-07,-2.95151e-06,7.65354e-12,15,14,TAK,2.56027e-07,1.43769e-06,2.56613e-12,9,8,TAK,-9.44125e-06,0.000187804,3.36755e-08,181,180,TAK,-1.28798e-06,2.57507e-05,6.33248e-10,40,39,TAK,1.96615e-14,5.55091e-15,9.13099e-28,4,3,TAK
