Nr_iteracji,x1(0),x2(0),SD_005_x1,SD_005_x2,SD_005_y,SD_005_fc,SD_005_gc,SD_005_glob,SD_025_x1,SD_025_x2,SD_025_y,SD_025_fc,SD_025_gc,SD_025_glob,SD_Var_x1,SD_Var_x2,SD_Var_y,SD_Var_fc,SD_Var_gc,SD_Var_glob,CG_005_x1,CG_005_x2,CG_005_y,CG_005_fc,CG_005_gc,CG_005_glob,CG_025_x1,CG_025_x2,CG_025_y,CG_025_fc,CG_025_gc,CG_025_glob,CG_Var_x1,CG_Var_x2,CG_Var_y,CG_Var_fc,CG_Var_gc,CG_Var_glob,Newt_005_x1,Newt_005_x2,Newt_005_y,Newt_005_fc,Newt_005_gc,Newt_005_glob,Newt_025_x1,Newt_025_x2,Newt_025_y,Newt_025_fc,Newt_025_gc,Newt_025_glob,Newt_Var_x1,Newt_Var_x2,Newt_Var_y,Newt_Var_fc,Newt_Var_gc,Newt_Var_glob
70,-0.154341,-0.614621,4.26629e-05,-0.000102997,9.85453e-09,103,102,TAK,4.85667e-06,-1.1725e-05,1.27706e-10,22,21,TAK,1.91521e-06,-3.00471e-06,1.06097e-11,14,13,TAK,1.31686e-05,-2.6728e-05,7.09238e-10,32,31,TAK,1.23977e-06,-2.62176e-06,6.69729e-12,14,13,TAK,3.77425e-09,-8.57915e-09,6.97119e-17,6,5,TAK,-4.29522e-05,-0.000177146,4.26794e-08,160,159,TAK,-6.2554e-06,-2.61893e-05,9.27963e-10,36,35,TAK,-7.78e-13,-2.42789e-12,8.99413e-24,4,3,TAK
71,1.69784,-0.539109,1.74754,-0.873683,0.298638,83,82,NIE,1.82043,-0.809784,0.343906,10000,9999,NIE,1.74755,-0.873771,0.298638,13,12,NIE,1.74755,-0.873756,0.298638,29,28,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873774,0.298638,9,8,NIE,1.74753,-0.873591,0.298638,147,146,NIE,1.74755,-0.873751,0.298638,34,33,NIE,1.74755,-0.873776,0.298638,5,4,NIE
72,-1.0621,-0.27806,-4.27786e-05,0.000103277,9.90806e-09,108,107,TAK,-5.71437e-06,1.37957e-05,1.76796e-10,24,23,TAK,7.18656e-08,5.49203e-06,3.05675e-11,17,16,TAK,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,5.67899e-06,-8.88366e-06,9.29711e-11,43,42,TAK,-1.07054,0.53509,0.877362,165,164,NIE,-1.07054,0.535245,0.877362,37,36,NIE,-1.07056,0.535278,0.877362,3,2,NIE
73,-0.532691,-0.338987,4.12798e-05,-9.96624e-05,9.2266e-09,81,80,TAK,4.95756e-06,-1.19686e-05,1.33067e-10,15,14,TAK,3.1345e-07,3.58833e-07,4.37739e-13,7,6,TAK,4.37853e-06,-1.92537e-05,3.24744e-10,29,28,TAK,1.76597e-06,-1.83397e-06,6.36199e-12,12,11,TAK,-8.53737e-08,-3.66479e-07,1.80172e-13,5,4,TAK,-0.000101922,-0.00015175,5.92707e-08,157,156,TAK,1.04906e-05,-2.4485e-05,5.6276e-10,37,36,TAK,1.74755,-0.873776,0.298638,5,4,NIE
74,-1.46014,-1.93911,-4.10247e-05,9.90423e-05,9.11224e-09,109,108,TAK,-5.4949e-06,1.32659e-05,1.63476e-10,25,24,TAK,-5.29931e-07,2.2372e-06,4.38117e-12,15,14,TAK,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,5.20368e-06,-1.91581e-05,3.21497e-10,31,30,TAK,-1.07056,0.535089,0.877362,187,186,NIE,-1.07054,0.535243,0.877362,41,40,NIE,1.91188e-15,-2.6357e-15,9.21832e-30,6,5,TAK
75,1.09394,-0.780787,1.74754,-0.873689,0.298638,91,90,NIE,1.8577,-0.842388,0.391761,10000,9999,NIE,1.74755,-0.873761,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,nan,nan,nan,10000,10000,NIE,1.07056,-0.535458,0.877362,141,140,NIE,1.07054,-0.535296,0.877362,33,32,NIE,1.07065,-0.53535,0.877362,3,2,NIE
76,-0.564741,0.182353,-4.3041e-05,0.00010391,1.003e-08,101,100,TAK,-4.82803e-06,1.16559e-05,1.26205e-10,22,21,TAK,-1.10565e-06,3.55213e-06,1.11351e-11,10,9,TAK,-9.46408e-06,1.18906e-05,2.07991e-10,29,28,TAK,2.49352e-06,-4.14606e-06,1.92868e-11,15,14,TAK,-8.77173e-07,-4.77655e-06,2.85442e-11,10,9,TAK,-1.74772,0.873859,0.298639,315,314,NIE,-1.74758,0.873788,0.298638,98,97,NIE,-1.74755,0.873776,0.298638,4,3,NIE
77,1.34127,0.740931,1.74754,-0.873688,0.298638,102,101,NIE,1.71267,-0.862128,0.305327,10000,9999,NIE,1.74755,-0.873776,0.298638,8,7,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74756,-0.87379,0.298638,35,34,NIE,1.07058,-0.535091,0.877362,174,173,NIE,1.07055,-0.535248,0.877362,39,38,NIE,0.973123,-0.486555,0.85714,3,2,NIE
78,-1.67089,-0.687616,-1.74754,0.873686,0.298638,99,98,NIE,-1.88539,0.826015,0.452791,10000,9999,NIE,-1.74755,0.873767,0.298638,21,20,NIE,-1.74755,0.873757,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873772,0.298638,12,11,NIE,-1.74755,0.87359,0.298638,177,176,NIE,-1.74755,0.873748,0.298638,39,38,NIE,-1.74755,0.873776,0.298638,5,4,NIE
79,-1.31905,-1.11681,-4.2255e-05,0.000102012,9.66698e-09,119,118,TAK,-4.35179e-06,1.05062e-05,1.02535e-10,27,26,TAK,-6.70935e-07,5.19387e-06,2.43918e-11,18,17,TAK,-nan,-nan,-nan,10000,10000,NIE,nan,nan,nan,10000,10000,NIE,-1.84846e-05,5.12976e-05,2.36659e-09,151,150,TAK,-1.07057,0.535091,0.877362,179,178,NIE,-1.07055,0.535249,0.877362,40,39,NIE,-1.00587,0.502925,0.868356,3,2,NIE
80,-0.329552,0.25439,-4.33363e-05,0.000104623,1.01681e-08,99,98,TAK,-3.6673e-06,8.85365e-06,7.28163e-11,22,21,TAK,-3.32177e-06,2.69577e-06,2.03807e-11,15,14,TAK,-5.60576e-06,2.35665e-05,4.86122e-10,31,30,TAK,-1.59605e-06,2.20387e-06,6.43429e-12,13,12,TAK,7.04215e-08,-9.91807e-08,1.27707e-14,8,7,TAK,-0.0001434,0.000116935,3.80325e-08,149,148,TAK,-1.97352e-05,1.6619e-05,7.27166e-10,34,33,TAK,-1.80618e-13,6.67794e-13,3.90579e-25,4,3,TAK
81,1.3395,-0.0502013,1.74754,-0.873685,0.298638,94,93,NIE,1.52117,-0.75545,0.492306,10000,9999,NIE,1.74755,-0.873788,0.298638,15,14,NIE,1.74755,-0.873757,0.298638,31,30,NIE,nan,nan,nan,10000,10000,NIE,1.74755,-0.873794,0.298638,16,15,NIE,1.07063,-0.535105,0.877362,157,156,NIE,1.07055,-0.53525,0.877362,36,35,NIE,0.976235,-0.488114,0.858391,3,2,NIE
82,-0.850848,-1.90718,4.18994e-05,-0.000101154,9.50499e-09,115,114,TAK,3.85071e-06,-9.29643e-06,8.02817e-11,24,23,TAK,2.21648e-06,-3.07532e-06,1.24668e-11,16,15,TAK,1.03205e-05,-2.79784e-05,7.07065e-10,35,34,TAK,-9.51657e-08,-2.55101e-06,6.76856e-12,14,13,TAK,1.12543e-06,-7.11655e-07,2.23873e-12,10,9,TAK,-1.07053,0.535087,0.877362,186,185,NIE,-1.07054,0.535247,0.877362,41,40,NIE,-1.12968,0.564829,0.869654,3,2,NIE
83,1.40862,0.547272,1.74754,-0.873686,0.298638,99,98,NIE,1.72277,-0.781728,0.308406,10000,9999,NIE,1.74755,-0.873776,0.298638,10,9,NIE,1.74755,-0.873753,0.298638,32,31,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873765,0.298638,6,5,NIE,1.07059,-0.53509,0.877362,171,170,NIE,1.07055,-0.535244,0.877362,38,37,NIE,-1.36805e-11,6.84027e-12,3.27525e-22,6,5,TAK
84,1.84021,-1.25682,1.74756,-0.873863,0.298638,85,84,NIE,4.47997e-06,-1.08156e-05,1.08664e-10,30,29,TAK,1.74756,-0.87379,0.298638,33,32,NIE,1.74756,-0.873794,0.298638,30,29,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873777,0.298638,7,6,NIE,1.74761,-0.873957,0.298638,151,150,NIE,1.74756,-0.873799,0.298638,35,34,NIE,1.74755,-0.873776,0.298638,5,4,NIE
85,1.53618,-0.314132,1.74754,-0.873686,0.298638,89,88,NIE,1.5987,-0.855764,0.399566,10000,9999,NIE,1.74755,-0.873757,0.298638,31,30,NIE,1.74755,-0.873754,0.298638,29,28,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873774,0.298638,12,11,NIE,1.74752,-0.873598,0.298638,156,155,NIE,1.74755,-0.87375,0.298638,35,34,NIE,1.74755,-0.873776,0.298638,6,5,NIE
86,0.128559,1.23402,-4.37808e-05,0.000105696,1.03777e-08,112,111,TAK,-3.92802e-06,9.48308e-06,8.35378e-11,24,23,TAK,-3.31624e-06,4.57016e-06,2.77255e-11,16,15,TAK,-1.42821e-06,1.61843e-05,2.42898e-10,36,35,TAK,-1.36466e-06,5.27467e-06,2.43486e-11,14,13,TAK,3.2429e-08,-1.15989e-07,1.17953e-14,8,7,TAK,1.85436e-05,0.000182081,3.72177e-08,173,172,TAK,2.97187e-06,2.94627e-05,9.73276e-10,38,37,TAK,-9.18407e-15,3.12779e-13,9.51271e-26,4,3,TAK
87,1.14676,1.06646,5.26412e-05,-9.16145e-05,9.1127e-09,52,51,TAK,4.55685e-06,-1.10012e-05,1.12426e-10,23,22,TAK,2.28739e-06,-2.47043e-06,1.09165e-11,18,17,TAK,1.83744e-06,-1.81619e-05,3.03234e-10,39,38,TAK,5.66096e-07,-2.19092e-06,4.20078e-12,19,18,TAK,2.90963e-06,-4.99043e-06,2.7316e-11,22,21,TAK,1.07055,-0.535089,0.877362,178,177,NIE,1.07054,-0.535243,0.877362,39,38,NIE,1.07057,-0.535275,0.877362,3,2,NIE
88,-1.04404,-1.38593,4.32525e-05,-0.000104421,1.01288e-08,105,104,TAK,4.16228e-06,-1.00486e-05,9.37988e-11,20,19,TAK,-3.95975e-06,4.88383e-06,3.58722e-11,16,15,TAK,7.62725e-06,-2.2943e-05,4.67738e-10,31,30,TAK,-3.18145e-07,4.61142e-06,2.00006e-11,15,14,TAK,-6.49608e-07,6.037e-07,8.16266e-13,12,11,TAK,-1.07054,0.535083,0.877362,181,180,NIE,-1.07054,0.535245,0.877362,40,39,NIE,-1.0708,0.535392,0.877361,3,2,NIE
89,-1.27253,-0.504177,-1.74754,0.873682,0.298638,102,101,NIE,-1.88098,0.81889,0.444142,10000,9999,NIE,-1.74755,0.873766,0.298638,20,19,NIE,-nan,-nan,-nan,10000,10000,NIE,nan,nan,nan,10000,10000,NIE,-1.74756,0.87382,0.298638,60,59,NIE,-1.07058,0.535092,0.877362,170,169,NIE,-1.07055,0.535246,0.877362,38,37,NIE,-1.04471,0.522349,0.87591,3,2,NIE
90,-1.32505,1.82141,-1.74756,0.873862,0.298638,93,92,NIE,-1.35583,0.862241,0.738067,10000,9999,NIE,-1.74756,0.873794,0.298638,34,33,NIE,-1.74755,0.873791,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873778,0.298638,13,12,NIE,-1.07058,0.53545,0.877362,174,173,NIE,-1.07055,0.535294,0.877362,39,38,NIE,-0.998247,0.499129,0.866134,3,2,NIE
91,0.715036,0.110213,4.37013e-05,-0.000105504,1.03401e-08,95,94,TAK,3.974e-06,-9.59409e-06,8.5505e-11,22,21,TAK,6.87983e-07,-1.462e-06,2.07825e-12,8,7,TAK,1.06528e-05,-2.50817e-05,5.88866e-10,30,29,TAK,-1.59434e-06,2.49188e-06,7.32039e-12,15,14,TAK,8.23356e-07,-1.1465e-06,1.72632e-12,12,11,TAK,1.07047,-0.5351,0.877362,160,159,NIE,1.07053,-0.535247,0.877362,36,35,NIE,1.74755,-0.873776,0.298638,5,4,NIE
92,0.00376754,0.0563095,-4.285e-05,0.00010345,9.94124e-09,75,74,TAK,-3.62269e-06,8.74595e-06,7.10556e-11,18,17,TAK,2.81987e-07,4.21196e-06,1.90874e-11,13,12,TAK,-1.04142e-05,1.21246e-05,2.37649e-10,27,26,TAK,-2.18748e-06,4.49533e-06,1.99447e-11,11,10,TAK,1.29467e-07,-2.40215e-07,6.01267e-14,4,3,TAK,1.2053e-05,0.000180146,3.49145e-08,113,112,TAK,1.59478e-06,2.38361e-05,6.11261e-10,28,27,TAK,-5.31351e-13,1.61901e-12,2.3256e-24,3,2,TAK
93,-1.14886,0.332879,-1.74754,0.87369,0.298638,97,96,NIE,-1.89388,0.823773,0.474435,10000,9999,NIE,-1.74755,0.873773,0.298638,11,10,NIE,-nan,-nan,-nan,10000,10000,NIE,nan,nan,nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.07061,0.535101,0.877362,139,138,NIE,-1.07055,0.535244,0.877362,32,31,NIE,-1.07052,0.535258,0.877362,3,2,NIE
94,1.36869,-0.467907,1.74754,-0.873682,0.298638,87,86,NIE,1.88931,-0.81696,0.46455,10000,9999,NIE,1.74755,-0.873757,0.298638,26,25,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873776,0.298638,9,8,NIE,1.07071,-0.535216,0.877362,144,143,NIE,1.07057,-0.535261,0.877362,33,32,NIE,1.36869,-0.467907,0.736045,2,1,NIE
95,1.21607,-0.960858,1.74754,-0.873687,0.298638,72,71,NIE,1.83598,-0.798651,0.366085,10000,9999,NIE,1.74755,-0.873766,0.298638,28,27,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873769,0.298638,25,24,NIE,1.0706,-0.535446,0.877362,153,152,NIE,1.07055,-0.535295,0.877362,35,34,NIE,1.06426,-0.532131,0.877275,3,2,NIE
96,1.78648,0.555568,1.74754,-0.873687,0.298638,98,97,NIE,1.36278,-0.860165,0.72806,10000,9999,NIE,-9.80952e-08,-4.92656e-06,2.47735e-11,19,18,TAK,1.74755,-0.873758,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,4.90424e-07,-5.03687e-07,4.87711e-13,11,10,TAK,1.74756,-0.873586,0.298638,175,174,NIE,1.74755,-0.873751,0.298638,39,38,NIE,1.74755,-0.873776,0.298638,5,4,NIE
97,0.98894,-1.06437,1.74754,-0.873688,0.298638,104,103,NIE,1.82431,-0.794404,0.351796,10000,9999,NIE,1.74755,-0.87376,0.298638,31,30,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,1.07051,-0.535458,0.877362,156,155,NIE,1.07054,-0.535294,0.877362,36,35,NIE,1.07433,-0.537169,0.87733,3,2,NIE
98,0.648386,0.397565,-4.43793e-05,0.000107156,1.0666e-08,77,76,TAK,5.75162e-06,-1.38856e-05,1.79108e-10,17,16,TAK,3.45318e-07,-6.6148e-07,4.47624e-13,10,9,TAK,1.16484e-05,-3.12917e-05,8.86043e-10,25,24,TAK,2.09724e-06,-1.74519e-06,8.18247e-12,14,13,TAK,7.09437e-07,-2.50378e-06,5.49925e-12,7,6,TAK,1.07049,-0.53509,0.877362,166,165,NIE,1.07054,-0.535247,0.877362,37,36,NIE,1.74755,-0.873776,0.298638,5,4,NIE
99,1.48291,0.488595,1.74754,-0.873686,0.298638,98,97,NIE,1.84404,-0.797004,0.378484,10000,9999,NIE,1.74755,-0.873776,0.298638,9,8,NIE,1.74755,-0.87376,0.298638,33,32,NIE,-nan,-nan,-nan,10000,10000,NIE,1.74755,-0.873781,0.298638,9,8,NIE,-1.0705,0.535453,0.877362,171,170,NIE,-1.74757,0.873787,0.298638,75,74,NIE,3.43959e-16,-3.85741e-17,2.24835e-31,5,4,TAK
100,1.14074,1.01909,4.40711e-05,-0.00010625,1.0491e-08,74,73,TAK,4.78317e-06,-1.15476e-05,1.2387e-10,23,22,TAK,2.29021e-06,-2.48756e-06,1.0981e-11,18,17,TAK,-1.25411e-05,9.53326e-06,2.85883e-10,39,38,TAK,1.12526e-06,-4.07965e-06,1.45853e-11,19,18,TAK,4.33037e-06,-5.9092e-06,4.68339e-11,22,21,TAK,1.07055,-0.535085,0.877362,177,176,NIE,1.07054,-0.535243,0.877362,39,38,NIE,1.07068,-0.535321,0.877362,3,2,NIE
