Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,4,68,3.48672,1.88975,3.33853,2.2031,-0.189192,1180,3.99992
Zewnetrzna,4,69,-2.2917,-0.135237,3.10868,2.51713,-0.189198,1190,3.99998
Zewnetrzna,4,70,1.47722,3.03429,2.26665,3.29579,-0.189199,1190,3.99999
Zewnetrzna,4,71,-0.87217,-2.75453,1.81181,3.56612,-0.189199,1460,3.99999
Zewnetrzna,4,72,-3.37017,-2.8432,3.31484,2.23861,-0.189195,1120,3.99995
Zewnetrzna,4,73,1.29695,2.17363,2.42586,3.18043,-0.1892,1125,3.99999
Zewnetrzna,4,74,3.09534,-2.59958,2.20295,3.33865,-0.189194,1100,3.99994
Zewnetrzna,4,75,2.0263,0.248325,3.39201,2.11985,-0.189193,1270,3.99993
Zewnetrzna,4,76,2.07203,1.00481,3.51178,1.91502,-0.1892,1185,3.99999
Zewnetrzna,4,77,-1.01416,-1.41178,2.85677,2.79982,-0.189202,895,4.00001
Zewnetrzna,4,78,-2.80005,-2.72882,2.83207,2.82424,-0.189156,819,3.99962
Zewnetrzna,4,79,2.1904,1.04593,3.4258,2.06509,-0.189211,960,4.00009
Zewnetrzna,4,80,-2.14943,2.79112,2.00556,3.46087,-0.189199,1515,3.99999
Zewnetrzna,4,81,3.21076,-1.08044,2.81376,2.84247,-0.189156,890,3.99961
Zewnetrzna,4,82,-3.80749,-1.93283,2.78138,2.8746,-0.189192,900,3.99993
Zewnetrzna,4,83,1.2295,3.67923,2.17005,3.3601,-0.189192,1305,3.99992
Zewnetrzna,4,84,3.95692,2.93779,2.78122,2.87498,-0.189211,930,4.00009
Zewnetrzna,4,85,-0.456008,1.43414,2.62701,3.01643,-0.189201,1340,4
Zewnetrzna,4,86,1.97208,2.67182,2.81846,2.83838,-0.189202,950,4.00001
Zewnetrzna,4,87,2.67961,2.60191,2.76399,2.89134,-0.189194,855,3.99994
Zewnetrzna,4,88,3.82862,-0.0234441,3.55605,1.83154,-0.189201,1175,4
Zewnetrzna,4,89,0.775545,2.92396,2.95231,2.69886,-0.189201,1145,4
Zewnetrzna,4,90,1.37697,-1.19815,2.83751,2.81877,-0.189156,855,3.99962
Zewnetrzna,4,91,-0.827716,-0.550995,2.87398,2.78214,-0.189202,960,4.00001
Zewnetrzna,4,92,3.80665,2.15812,2.84068,2.81557,-0.189156,810,3.99961
Zewnetrzna,4,93,2.03722,-2.9934,2.86727,2.78905,-0.189202,930,4.00001
Zewnetrzna,4,94,3.4293,0.227622,2.90755,2.74703,-0.189202,920,4.00001
Zewnetrzna,4,95,2.05253,-2.72012,2.86531,2.79107,-0.189202,940,4.00001
Zewnetrzna,4,96,-0.981253,1.26329,3.30651,2.25101,-0.189201,1030,4
Zewnetrzna,4,97,0.199438,-0.788739,2.39985,3.20013,-0.189202,1115,4.00002
Zewnetrzna,4,98,3.33046,-2.57106,2.79094,2.86544,-0.189202,955,4.00001
Zewnetrzna,4,99,-1.10951,3.28738,2.5099,3.11453,-0.189198,1205,3.99998
Zewnetrzna,4,100,-3.63327,2.43448,3.45742,2.0115,-0.189199,1355,3.99998
Wewnetrzna,4,1,2.91459,2.27557,2.71498,2.93736,-0.189188,3010,3.9999
Wewnetrzna,4,2,2.44712,2.78281,2.64736,2.99843,-0.189187,2460,3.99988
Wewnetrzna,4,3,1.07732,2.62171,2.68022,2.96909,-0.189187,2845,3.99988
Wewnetrzna,4,4,1.92607,2.26911,2.67414,2.97456,-0.189187,2660,3.99988
Wewnetrzna,4,5,1.24353,1.78719,2.68377,2.96588,-0.189187,2575,3.99988
Wewnetrzna,4,6,2.32268,2.34598,2.65763,2.98934,-0.189188,2510,3.9999
Wewnetrzna,4,7,1.7593,2.49496,2.67213,2.97637,-0.189187,2580,3.99988
Wewnetrzna,4,8,2.32013,3.02745,2.6971,2.95376,-0.189186,2745,3.99988
Wewnetrzna,4,9,1.65016,2.55399,2.64733,2.99845,-0.189187,2685,3.99988
Wewnetrzna,4,10,1.2868,2.66229,2.69727,2.9536,-0.189187,2900,3.99988
Wewnetrzna,4,11,1.9182,3.49725,2.65868,2.9884,-0.189188,2815,3.99989
Wewnetrzna,4,12,1.72064,2.16073,2.72113,2.93172,-0.189194,2585,3.99994
Wewnetrzna,4,13,1.28544,1.98241,2.69735,2.95354,-0.189187,2860,3.99988
Wewnetrzna,4,14,2.15235,2.60712,2.66181,2.98561,-0.189188,2510,3.99989
Wewnetrzna,4,15,3.32739,1.87692,2.66085,2.98647,-0.189188,2720,3.99989
Wewnetrzna,4,16,1.06824,1.08769,2.68732,2.96266,-0.189186,2500,3.99988
Wewnetrzna,4,17,3.37088,1.90482,2.68931,2.96085,-0.189186,3025,3.99988
Wewnetrzna,4,18,1.59494,2.28483,2.67213,2.97637,-0.189187,2780,3.99988
Wewnetrzna,4,19,2.67873,1.92822,2.66671,2.98123,-0.189188,2850,3.99989
Wewnetrzna,4,20,2.3953,1.60583,2.68594,2.96391,-0.189187,2945,3.99988
Wewnetrzna,4,21,1.25491,3.70329,2.68552,2.96429,-0.189187,2905,3.99988
Wewnetrzna,4,22,1.79482,2.17211,2.69776,2.95316,-0.189187,2990,3.99988
Wewnetrzna,4,23,3.49587,1.4852,2.6877,2.96231,-0.189186,2780,3.99988
Wewnetrzna,4,24,2.0941,2.82425,2.6547,2.99193,-0.189187,2740,3.99988
Wewnetrzna,4,25,2.36112,2.16134,2.75771,2.89735,-0.189195,3175,3.99995
Wewnetrzna,4,26,2.91094,1.733,2.61815,3.02395,-0.189186,2515,3.99987
Wewnetrzna,4,27,1.58832,2.21256,2.68529,2.9645,-0.189187,2870,3.99988
Wewnetrzna,4,28,2.55199,1.54399,2.69011,2.96013,-0.189187,2850,3.99989
Wewnetrzna,4,29,2.14882,2.49454,2.65503,2.99162,-0.189185,2865,3.99987
Wewnetrzna,4,30,3.07882,2.40273,2.69736,2.95353,-0.189187,2875,3.99988
Wewnetrzna,4,31,3.57384,1.40137,2.64783,2.998,-0.189187,2790,3.99988
Wewnetrzna,4,32,2.38809,2.90668,2.68339,2.96622,-0.189187,2760,3.99988
Wewnetrzna,4,33,3.39088,1.98145,2.71837,2.93429,-0.189195,3030,3.99995
Wewnetrzna,4,34,2.48499,2.20795,2.66176,2.98566,-0.189188,2750,3.99989
Wewnetrzna,4,35,1.29268,2.3594,2.66097,2.98636,-0.189188,2745,3.99989
Wewnetrzna,4,36,1.86805,1.24903,2.68068,2.96867,-0.189187,2975,3.99988
Wewnetrzna,4,37,2.46059,2.46452,2.7226,2.93037,-0.189195,2585,3.99995
Wewnetrzna,4,38,2.99835,1.53765,2.60264,3.03732,-0.189186,2470,3.99988
