w,l[mm],d[mm],Masa[kg],Ugiecie[mm],Naprezenie[MPa],Weighted_Sum,f_calls
0.9,299.63,45.1426,4.27773,0.733106,66.3522,3.85003,19
0.91,273.617,18.1979,0.634805,21.1397,924.929,5.99297e+07,19
0.92,776.885,44.2028,10.6344,13.9005,183.248,2.07954e+07,21
0.93,536.363,32.4175,3.94888,15.813,320.737,2.83626e+07,21
0.94,778.84,38.5053,8.0899,24.3232,277.918,7.62003e+07,21
0.95,620.809,41.7557,7.58305,8.90778,173.717,6.56955e+06,20
0.96,261.465,14.4244,0.381122,46.7307,1774.79,3.37184e+08,19
0.97,260.901,30.5423,1.70504,2.30981,186.552,1.65396,14
0.98,648.257,14.6175,0.970389,675.322,4228.25,7.26017e+10,22
0.99,982.105,26.4965,4.83047,217.51,1075.53,7.40334e+09,23
