Dlugosc_kroku,Lp,x1_0,x2_0,SD_x1,SD_x2,SD_y,SD_f_calls,SD_g_calls,SD_Globalne,CG_x1,CG_x2,CG_y,CG_f_calls,CG_g_calls,CG_Globalne,Newt_x1,Newt_x2,Newt_y,Newt_f_calls,Newt_g_calls,Newt_H_calls,Newt_Globalne
Zmienny,29,1.97887,-1.69992,4.17418e-07,-5.21183e-06,2.53361e-11,6,5,TAK,-1.25632e-07,2.23666e-06,4.75322e-12,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,30,-0.944995,-1.80293,-3.00771e-07,-4.48728e-06,2.16662e-11,3,2,TAK,5.6605e-08,-2.72645e-07,6.53106e-14,3,2,TAK,-1.08226,0.541117,0.877061,3,2,2,NIE
Zmienny,31,1.3355,0.693435,1.74755,-0.873774,0.298638,3,2,NIE,1.74755,-0.873788,0.298638,3,2,NIE,0.982907,-0.491447,0.860944,3,2,2,NIE
Zmienny,32,0.572975,1.55476,5.66005e-07,2.57334e-06,8.71933e-12,6,5,TAK,-1.32466e-07,1.27078e-06,1.48165e-12,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,33,0.568528,-0.182408,1.04232e-06,-3.33743e-06,9.83261e-12,4,3,TAK,8.40837e-07,5.40833e-06,3.52116e-11,4,3,TAK,1.74755,-0.873776,0.298638,4,3,3,NIE
Zmienny,34,1.16758,-1.00186,1.74755,-0.873758,0.298638,3,2,NIE,1.74756,-0.873809,0.298638,3,2,NIE,1.0698,-0.534904,0.87736,3,2,2,NIE
Zmienny,35,1.30222,-0.0940971,1.74755,-0.873788,0.298638,3,2,NIE,1.74755,-0.873789,0.298638,3,2,NIE,1.02352,-0.511756,0.872577,3,2,2,NIE
Zmienny,36,1.78883,0.532504,2.13125e-06,-2.41029e-06,9.75701e-12,5,4,TAK,-1.63863e-07,7.00624e-07,4.2977e-13,5,4,TAK,1.74755,-0.873776,0.298638,5,4,4,NIE
Zmienny,37,1.26996,-0.3475,1.74755,-0.87376,0.298638,2,1,NIE,1.74755,-0.873774,0.298638,2,1,NIE,1.26996,-0.347501,0.873049,2,1,1,NIE
Zmienny,38,1.66552,0.388487,1.74755,-0.873765,0.298638,5,4,NIE,1.74755,-0.873774,0.298638,5,4,NIE,1.74755,-0.873776,0.298638,5,4,4,NIE
Zmienny,39,-1.06345,1.78362,-1.74755,0.873765,0.298638,3,2,NIE,-1.74755,0.87378,0.298638,3,2,NIE,-1.07056,0.535285,0.877362,3,2,2,NIE
Zmienny,40,-0.722099,0.136983,-3.80647e-08,9.94653e-08,9.00507e-15,3,2,TAK,1.79698e-06,-6.3035e-07,5.72286e-12,3,2,TAK,-1.38988,0.694939,0.663752,3,2,2,NIE
Zmienny,41,0.409497,1.9569,-1.46607e-06,2.15592e-06,5.78598e-12,5,4,TAK,2.67785e-06,-3.57194e-06,1.75354e-11,5,4,TAK,-4.89258e-12,4.64245e-12,4.67134e-23,5,4,4,TAK
Zmienny,42,1.07601,0.900168,2.716e-08,-5.70489e-06,3.23923e-11,3,2,TAK,5.85832e-07,9.27687e-06,9.21813e-11,3,2,TAK,1.07055,-0.535268,0.877362,3,2,2,NIE
Zmienny,43,1.12774,-1.66767,1.74755,-0.873758,0.298638,3,2,NIE,1.74755,-0.873774,0.298638,3,2,NIE,1.07079,-0.535425,0.877361,3,2,2,NIE
Zmienny,44,-1.92659,1.10661,-6.00888e-07,2.87914e-06,7.28155e-12,6,5,TAK,1.19959e-06,-1.8872e-06,4.1757e-12,6,5,TAK,-1.74755,0.873776,0.298638,6,5,5,NIE
