w;x1(0);x2(0);a1_x1*;a1_x2*;a1_f1*;a1_f2*;a1_calls;a10_x1*;a10_x2*;a10_f1*;a10_f2*;a10_calls;a100_x1*;a100_x2*;a100_f1*;a100_f2*;a100_calls
0.37;-1.11153;1.22007;-1.11153;1.22007;20.0728;21.3753;33;-1.11153;1.22007;200.728;2.13753;33;-1.11153;1.22007;2007.28;0.213753;30
0.38;9.79467;-1.44262;9.79467;-1.44262;65.9044;166.129;35;9.79467;-1.44262;659.044;16.6129;34;9.79467;-1.44262;6590.44;1.66129;34
0.39;-2.5799;3.93105;-2.5799;3.93105;32.0022;48.216;32;-2.5799;3.93105;320.022;4.8216;29;-2.5799;3.93105;3200.22;0.48216;32
0.4;-5.76833;5.27464;-5.76833;5.27464;82.0577;76.1333;33;-5.76833;5.27464;820.577;7.61333;34;-5.76833;5.27464;8205.77;0.761333;33
0.41;1.53428;-4.77436;1.53428;-4.77436;62.589;23.708;32;1.53428;-4.77436;625.89;2.3708;32;1.53428;-4.77436;6258.9;0.23708;30
0.42;-8.99412;-8.27229;-8.99412;-8.27229;270.924;63.7266;32;-8.99412;-8.27229;2709.24;6.37266;33;-8.99412;-8.27229;27092.4;0.637266;34
0.43;-2.69185;7.51618;-2.69185;7.51618;52.793;110.685;31;-2.69185;7.51618;527.93;11.0685;29;-2.69185;7.51618;5279.3;1.10685;33
0.44;-6.12258;3.04287;-6.12258;3.04287;83.2233;46.2667;33;-6.12258;3.04287;832.233;4.62667;33;-6.12258;3.04287;8322.33;0.462667;31
0.45;-1.43585;-2.77271;-1.43585;-2.77271;53.0009;2.49823;29;-1.43585;-2.77271;530.009;0.249823;27;-1.43585;-2.77271;5300.09;0.0249823;32
0.46;-5.27196;-8.65373;-5.27196;-8.65373;204.235;37.1264;31;-5.27196;-8.65373;2042.35;3.71264;31;-5.27196;-8.65373;20423.5;0.371264;34
0.47;6.60579;-6.41337;6.60579;-6.41337;101.613;103.922;34;6.60579;-6.41337;1016.13;10.3922;34;6.60579;-6.41337;10161.3;1.03922;34
0.48;-0.642489;9.74297;-0.642489;9.74297;58.7353;167.941;35;-0.642489;9.74297;587.353;16.7941;34;-0.642489;9.74297;5873.53;1.67941;33
0.49;2.33808;-2.02362;2.33808;-2.02362;25.6749;29.4484;32;2.33808;-2.02362;256.749;2.94484;31;2.33808;-2.02362;2567.49;0.294484;27
0.5;-5.35799;-0.720208;-5.35799;-0.720208;83.6959;10.7576;31;-5.35799;-0.720208;836.959;1.07576;31;-5.35799;-0.720208;8369.59;0.107576;33
0.51;-9.01022;9.18855;-9.01022;9.18855;182.544;184.684;34;-9.01022;9.18855;1825.44;18.4684;35;-9.01022;9.18855;18254.4;1.84684;35
0.52;3.77925;-0.121749;3.77925;-0.121749;10.3526;54.2426;34;3.77925;-0.121749;103.526;5.42426;34;3.77925;-0.121749;1035.26;0.542426;30
0.53;0.408618;3.57392;0.408618;3.57392;7.04465;54.8351;35;0.408618;3.57392;70.4465;5.48351;33;0.408618;3.57392;704.465;0.548351;30
0.54;8.43563;7.82871;8.43563;7.82871;52.8625;248.035;36;8.43563;7.82871;528.625;24.8035;36;8.43563;7.82871;5286.25;2.48035;34
0.55;-2.49503;-7.3327;-2.49503;-7.3327;136.96;19.0273;30;-2.49503;-7.3327;1369.6;1.90273;27;-2.49503;-7.3327;13696;0.190273;33
0.56;3.10335;9.03925;3.10335;9.03925;36.4832;182.194;35;3.10335;9.03925;364.832;18.2194;35;3.10335;9.03925;3648.32;1.82194;32
0.57;-2.10706;4.10923;-2.10706;4.10923;27.3125;51.3385;33;-2.10706;4.10923;273.125;5.13385;30;-2.10706;4.10923;2731.25;0.513385;31
0.58;-9.23304;5.20109;-9.23304;5.20109;154.492;106.109;35;-9.23304;5.20109;1544.92;10.6109;35;-9.23304;5.20109;15449.2;1.06109;33
0.59;1.62541;-5.35562;1.62541;-5.35562;71.7059;26.9433;32;1.62541;-5.35562;717.059;2.69433;33;1.62541;-5.35562;7170.59;0.269433;31
