Metoda,Krok,Nr_Iteracji,x1,x2
SD,0.250000,31,1.25144,-0.884506
SD,0.250000,32,1.51167,-0.755114
SD,0.250000,33,1.84244,-0.755474
SD,0.250000,34,1.4482,-0.838347
SD,0.250000,35,1.80623,-0.781224
SD,0.250000,36,1.57647,-0.84217
SD,0.250000,37,1.8901,-0.815203
SD,0.250000,38,1.26309,-0.880128
SD,0.250000,39,1.53218,-0.755836
SD,0.250000,40,1.85471,-0.760964
SD,0.250000,41,1.40254,-0.84416
SD,0.250000,42,1.75115,-0.772714
SD,0.250000,43,1.71486,-0.824143
SD,0.250000,44,1.79363,-0.840787
SD,0.250000,45,1.6281,-0.868801
SD,0.250000,46,1.88874,-0.841425
SD,0.250000,47,1.27604,-0.892897
SD,0.250000,48,1.55908,-0.76546
SD,0.250000,49,1.86762,-0.7725
SD,0.250000,50,1.35267,-0.853154
SD,0.250000,51,1.6799,-0.764745
SD,0.250000,52,1.82431,-0.802348
SD,0.250000,53,1.52402,-0.857251
SD,0.250000,54,1.87566,-0.809631
SD,0.250000,55,1.32732,-0.873731
SD,0.250000,56,1.64385,-0.768697
SD,0.250000,57,1.85546,-0.795311
SD,0.250000,58,1.40814,-0.861521
SD,0.250000,59,1.76303,-0.782796
SD,0.250000,60,1.69137,-0.832154
SD,0.250000,61,1.82807,-0.838919
SD,0.250000,62,1.52038,-0.876477
SD,0.250000,63,1.87832,-0.818333
SD,0.250000,64,1.31774,-0.878747
SD,0.250000,65,1.62895,-0.768808
SD,0.250000,66,1.86337,-0.791641
SD,0.250000,67,1.3752,-0.861662
SD,0.250000,68,1.71658,-0.774631
SD,0.250000,69,1.77857,-0.81646
SD,0.250000,70,1.66225,-0.852873
SD,0.250000,71,1.86314,-0.842
SD,0.250000,72,1.38875,-0.886784
SD,0.250000,73,1.7426,-0.790579
SD,0.250000,74,1.73666,-0.830939
SD,0.250000,75,1.75812,-0.849635
SD,0.250000,76,1.7191,-0.864347
SD,0.250000,77,1.79699,-0.861949
SD,0.250000,78,1.62387,-0.880221
SD,0.250000,79,1.89332,-0.846079
SD,0.250000,80,1.25557,-0.89637
SD,0.250000,81,1.52232,-0.762077
SD,0.250000,82,1.85088,-0.761618
SD,0.250000,83,1.41771,-0.843529
SD,0.250000,84,1.77103,-0.776192
SD,0.250000,85,1.6709,-0.830854
SD,0.250000,86,1.84991,-0.833151
SD,0.250000,87,1.43936,-0.879052
SD,0.250000,88,1.80637,-0.799366
SD,0.250000,89,1.58057,-0.851277
SD,0.250000,90,1.89274,-0.820782
SD,0.250000,91,1.25201,-0.883576
SD,0.250000,92,1.51249,-0.754791
SD,0.250000,93,1.84291,-0.755519
SD,0.250000,94,1.44647,-0.838487
SD,0.250000,95,1.80433,-0.78086
SD,0.250000,96,1.5821,-0.841513
SD,0.250000,97,1.89039,-0.816281
SD,0.250000,98,1.262,-0.880739
SD,0.250000,99,1.53033,-0.755869
SD,0.250000,100,1.85377,-0.760516
SD,0.250000,101,1.40616,-0.843699
SD,0.250000,102,1.75592,-0.773389
SD,0.250000,103,1.70485,-0.825675
SD,0.250000,104,1.80879,-0.839049
SD,0.250000,105,1.58313,-0.871721
SD,0.250000,106,1.898,-0.831643
SD,0.250000,107,1.22943,-0.89032
SD,0.250000,108,1.47158,-0.752518
SD,0.250000,109,1.80896,-0.744153
SD,0.250000,110,1.55886,-0.824317
SD,0.250000,111,1.88227,-0.801874
SD,0.250000,112,1.2959,-0.871505
SD,0.250000,113,1.58929,-0.759729
SD,0.250000,114,1.87007,-0.777187
SD,0.250000,115,1.34341,-0.856112
SD,0.250000,116,1.66586,-0.763909
SD,0.250000,117,1.83778,-0.798421
SD,0.250000,118,1.47601,-0.858656
SD,0.250000,119,1.83969,-0.798331
SD,0.250000,120,1.46906,-0.859087
SD,0.250000,121,1.83317,-0.796808
SD,0.250000,122,1.4921,-0.856696
SD,0.250000,123,1.85326,-0.801374
SD,0.250000,124,1.41836,-0.864002
SD,0.250000,125,1.77698,-0.786591
SD,0.250000,126,1.65881,-0.837541
SD,0.250000,127,1.86212,-0.833474
SD,0.250000,128,1.39081,-0.882266
SD,0.250000,129,1.74439,-0.788835
SD,0.250000,130,1.73269,-0.830515
SD,0.250000,131,1.76533,-0.848429
SD,0.250000,132,1.70248,-0.865546
SD,0.250000,133,1.82204,-0.858392
SD,0.250000,134,1.5456,-0.884706
SD,0.250000,135,1.89296,-0.828753
SD,0.250000,136,1.25299,-0.887615
SD,0.250000,137,1.51533,-0.757055
SD,0.250000,138,1.84533,-0.75736
SD,0.250000,139,1.43787,-0.840012
SD,0.250000,140,1.79487,-0.779473
SD,0.250000,141,1.60927,-0.838454
SD,0.250000,142,1.88734,-0.821545
SD,0.250000,143,1.2776,-0.882606
SD,0.250000,144,1.55934,-0.760704
SD,0.250000,145,1.8665,-0.770186
SD,0.250000,146,1.35681,-0.851717
SD,0.250000,147,1.68604,-0.76506
SD,0.250000,148,1.8176,-0.80404
SD,0.250000,149,1.54657,-0.85642
SD,0.250000,150,1.88626,-0.814853
SD,0.250000,151,1.28091,-0.878992
SD,0.250000,152,1.56441,-0.759723
SD,0.250000,153,1.8675,-0.770963
SD,0.250000,154,1.35279,-0.852356
SD,0.250000,155,1.6799,-0.764376
SD,0.250000,156,1.82422,-0.802162
SD,0.250000,157,1.52426,-0.857137
SD,0.250000,158,1.87577,-0.809634
SD,0.250000,159,1.32685,-0.87376
SD,0.250000,160,1.64306,-0.768592
SD,0.250000,161,1.85592,-0.795062
SD,0.250000,162,1.40627,-0.861511
SD,0.250000,163,1.76053,-0.782324
SD,0.250000,164,1.69691,-0.831293
SD,0.250000,165,1.8209,-0.839874
SD,0.250000,166,1.54476,-0.875161
SD,0.250000,167,1.89024,-0.823771
SD,0.250000,168,1.2646,-0.884445
SD,0.250000,169,1.53606,-0.758374
SD,0.250000,170,1.85724,-0.763201
SD,0.250000,171,1.39302,-0.845911
SD,0.250000,172,1.73843,-0.771211
SD,0.250000,173,1.73986,-0.820212
SD,0.250000,174,1.74937,-0.845072
SD,0.250000,175,1.73664,-0.859879
SD,0.250000,176,1.76539,-0.8641
SD,0.250000,177,1.70624,-0.873398
SD,0.250000,178,1.81875,-0.863259
SD,0.250000,179,1.55765,-0.886316
SD,0.250000,180,1.89743,-0.832572
SD,0.250000,181,1.23239,-0.890644
SD,0.250000,182,1.47729,-0.75342
SD,0.250000,183,1.81456,-0.746033
SD,0.250000,184,1.54181,-0.826657
SD,0.250000,185,1.8769,-0.798782
SD,0.250000,186,1.31917,-0.868615
SD,0.250000,187,1.62885,-0.7641
SD,0.250000,188,1.86224,-0.789262
SD,0.250000,189,1.37927,-0.86019
SD,0.250000,190,1.72223,-0.774913
SD,0.250000,191,1.76953,-0.818015
SD,0.250000,192,1.68497,-0.851389
SD,0.250000,193,1.8404,-0.846937
SD,0.250000,194,1.47859,-0.883569
SD,0.250000,195,1.84829,-0.811431
SD,0.250000,196,1.44015,-0.867787
SD,0.250000,197,1.80447,-0.793931
SD,0.250000,198,1.58495,-0.848083
SD,0.250000,199,1.89215,-0.820279
SD,0.250000,200,1.25471,-0.883176
SD,Zmienny,0,1.4578,0.868796
SD,Zmienny,1,1.3309,-0.62187
SD,Zmienny,2,1.73196,-0.656015
SD,Zmienny,3,1.71594,-0.844178
SD,Zmienny,4,1.74568,-0.846709
SD,Zmienny,5,1.7437,-0.870034
SD,Zmienny,6,1.74732,-0.870342
SD,Zmienny,7,1.74706,-0.8733
SD,Zmienny,8,1.74752,-0.873339
SD,Zmienny,9,1.74749,-0.873716
SD,Zmienny,10,1.74755,-0.873721
SD,Zmienny,11,1.74754,-0.873768
SD,Zmienny,12,1.74755,-0.873769
CG,0.050000,0,1.4578,0.868796
CG,0.050000,1,1.4442,0.709026
CG,0.050000,2,1.42748,0.438431
CG,0.050000,3,1.42369,0.147461
CG,0.050000,4,1.44289,-0.109744
CG,0.050000,5,1.4901,-0.333886
CG,0.050000,6,1.57257,-0.547352
CG,0.050000,7,1.68466,-0.735442
CG,0.050000,8,1.73908,-0.794788
CG,0.050000,9,1.74425,-0.806717
CG,0.050000,10,1.74693,-0.82259
CG,0.050000,11,1.74659,-0.838576
CG,0.050000,12,1.74526,-0.849057
CG,0.050000,13,1.74486,-0.855766
CG,0.050000,14,1.74534,-0.861402
CG,0.050000,15,1.74632,-0.865571
CG,0.050000,16,1.74703,-0.86794
CG,0.050000,17,1.74738,-0.86957
