t,alpha,omega
91.5,3.14159,-2.64041e-11
91.6,3.14159,-2.38179e-11
91.7,3.14159,-2.133e-11
91.8,3.14159,-1.89388e-11
91.9,3.14159,-1.66427e-11
92,3.14159,-1.44401e-11
92.1,3.14159,-1.23292e-11
92.2,3.14159,-1.03084e-11
92.3,3.14159,-8.37576e-12
92.4,3.14159,-6.52952e-12
92.5,3.14159,-4.76785e-12
92.6,3.14159,-3.08886e-12
92.7,3.14159,-1.49069e-12
92.8,3.14159,2.85709e-14
92.9,3.14159,1.47083e-12
93,3.14159,2.83801e-12
93.1,3.14159,4.13204e-12
93.2,3.14159,5.35484e-12
93.3,3.14159,6.50836e-12
93.4,3.14159,7.5945e-12
93.5,3.14159,8.6152e-12
93.6,3.14159,9.57237e-12
93.7,3.14159,1.04679e-11
93.8,3.14159,1.13037e-11
93.9,3.14159,1.20817e-11
94,3.14159,1.28036e-11
94.1,3.14159,1.34714e-11
94.2,3.14159,1.40869e-11
94.3,3.14159,1.46519e-11
94.4,3.14159,1.51681e-11
94.5,3.14159,1.56373e-11
94.6,3.14159,1.60613e-11
94.7,3.14159,1.64418e-11
94.8,3.14159,1.67805e-11
94.9,3.14159,1.70789e-11
95,3.14159,1.73388e-11
95.1,3.14159,1.75617e-11
95.2,3.14159,1.77492e-11
95.3,3.14159,1.79029e-11
95.4,3.14159,1.80241e-11
95.5,3.14159,1.81145e-11
95.6,3.14159,1.81755e-11
95.7,3.14159,1.82084e-11
95.8,3.14159,1.82146e-11
95.9,3.14159,1.81955e-11
96,3.14159,1.81524e-11
96.1,3.14159,1.80866e-11
96.2,3.14159,1.79992e-11
96.3,3.14159,1.78916e-11
96.4,3.14159,1.77649e-11
96.5,3.14159,1.76202e-11
96.6,3.14159,1.74586e-11
96.7,3.14159,1.72813e-11
96.8,3.14159,1.70892e-11
96.9,3.14159,1.68833e-11
97,3.14159,1.66648e-11
97.1,3.14159,1.64344e-11
97.2,3.14159,1.61931e-11
97.3,3.14159,1.59418e-11
97.4,3.14159,1.56814e-11
97.5,3.14159,1.54126e-11
97.6,3.14159,1.51362e-11
97.7,3.14159,1.48531e-11
97.8,3.14159,1.4564e-11
97.9,3.14159,1.42695e-11
98,3.14159,1.39703e-11
98.1,3.14159,1.36671e-11
98.2,3.14159,1.33604e-11
98.3,3.14159,1.3051e-11
98.4,3.14159,1.27393e-11
98.5,3.14159,1.2426e-11
98.6,3.14159,1.21114e-11
98.7,3.14159,1.17962e-11
98.8,3.14159,1.14807e-11
98.9,3.14159,1.11654e-11
99,3.14159,1.08508e-11
99.1,3.14159,1.05372e-11
99.2,3.14159,1.0225e-11
99.3,3.14159,9.91464e-12
99.4,3.14159,9.60636e-12
99.5,3.14159,9.3005e-12
99.6,3.14159,8.99737e-12
99.7,3.14159,8.69724e-12
99.8,3.14159,8.40038e-12
99.9,3.14159,8.10701e-12
100,3.14159,7.81739e-12
