Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Wewnetrzna,4.4934,85,2.68934,3.57326,3.03219,3.31593,-0.217234,3510,4.49328
Wewnetrzna,4.4934,86,2.10524,2.2187,3.02414,3.32327,-0.217234,3320,4.49328
Wewnetrzna,4.4934,87,2.72895,3.18339,3.04855,3.30089,-0.217234,3770,4.49328
Wewnetrzna,4.4934,88,2.46613,3.01722,2.97094,3.37089,-0.217234,3270,4.49326
Wewnetrzna,4.4934,89,1.00729,3.45613,3.00252,3.34283,-0.217234,3295,4.49329
Wewnetrzna,4.4934,90,2.54855,3.44617,3.07364,3.27753,-0.217234,3425,4.49327
Wewnetrzna,4.4934,91,1.15035,3.23308,3.04616,3.30309,-0.217234,3605,4.49327
Wewnetrzna,4.4934,92,4.12626,1.46926,3.04567,3.30353,-0.217234,3575,4.49326
Wewnetrzna,4.4934,93,3.09323,2.94628,3.03299,3.31519,-0.217234,3575,4.49328
Wewnetrzna,4.4934,94,2.1115,3.55532,2.97547,3.36689,-0.217234,3140,4.49326
Wewnetrzna,4.4934,95,2.43356,2.10884,3.07448,3.27674,-0.217234,3490,4.49327
Wewnetrzna,4.4934,96,3.30683,1.83033,3.03849,3.31014,-0.217234,4010,4.49327
Wewnetrzna,4.4934,97,3.10206,1.02177,2.98097,3.36203,-0.217234,3465,4.49326
Wewnetrzna,4.4934,98,2.20745,3.10835,3.00783,3.33804,-0.217234,3340,4.49328
Wewnetrzna,4.4934,99,3.4769,1.42039,3.03716,3.31136,-0.217234,3430,4.49327
Wewnetrzna,4.4934,100,2.96026,1.53305,3.00229,3.34303,-0.217234,3030,4.49329
Zewnetrzna,5,1,3.2046,1.03942,4.21243,1.56401,-0.217234,460,4.49341
Zewnetrzna,5,2,2.91698,2.1559,3.98011,2.08553,-0.217234,445,4.49341
Zewnetrzna,5,3,2.3806,-1.0905,3.08617,3.26593,-0.217234,495,4.49341
Zewnetrzna,5,4,-2.27246,-0.121597,3.91221,2.21029,-0.217234,655,4.49341
Zewnetrzna,5,5,4.20892,-4.84066,3.80631,2.38805,-0.217234,395,4.49341
Zewnetrzna,5,6,-3.04403,-2.61041,3.22572,3.12817,-0.217234,445,4.49341
Zewnetrzna,5,7,2.47539,1.05908,4.16423,1.68816,-0.217234,340,4.49341
Zewnetrzna,5,8,0.562661,0.0150471,1.69496,4.16147,-0.217234,470,4.49341
Zewnetrzna,5,9,-3.57683,-2.83303,3.99775,2.05152,-0.217234,480,4.49341
Zewnetrzna,5,10,2.39041,-0.845307,3.16816,3.18645,-0.217234,610,4.49341
