Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
154,0.25,-0.0937484,0.220279,1.58088e-06,3.62062e-06,4.97e-10,120,-2.11829e-06,0.774717,0.619837,237
155,0.25,0.922988,0.23437,0.774718,-4.97828e-06,0.619837,135,0.774719,0.774711,1.23967,209
156,0.25,-0.836395,0.307345,-0.774719,0.774722,1.23967,152,-0.774712,0.774711,1.23967,257
157,0.25,-0.208671,0.745373,-6.66604e-06,0.774716,0.619837,156,1.59096e-06,0.774715,0.619837,189
158,0.25,0.871638,-0.0933287,0.774714,-5.91348e-06,0.619837,128,0.774714,3.35823e-06,0.619837,229
159,0.25,0.849519,-0.984121,0.774721,-0.774709,1.23967,156,0.774716,-0.774709,1.23967,151
160,0.25,-0.876966,0.6955,-0.774717,0.774708,1.23967,156,-0.774719,0.774718,1.23967,197
161,0.25,0.165106,0.15314,5.92189e-06,2.50114e-06,1.31588e-09,148,-2.71974e-06,-3.14873e-06,5.51241e-10,221
162,0.25,-0.286512,0.494096,2.14796e-06,0.774721,0.619837,146,-4.09272e-06,0.774712,0.619837,151
163,0.25,-0.84766,0.471842,-0.774723,0.774714,1.23967,163,-0.774716,0.77472,1.23967,201
164,0.25,0.207886,-0.413453,2.10516e-08,-4.08577e-07,5.32974e-12,136,0.774715,1.35149e-06,0.619837,223
165,0.25,0.0938205,0.297263,-5.81374e-06,0.77471,0.619837,146,1.42402e-06,0.774719,0.619837,243
166,0.25,0.909312,-0.594415,0.774714,-0.774713,1.23967,149,0.774717,-2.59119e-06,0.619837,237
167,0.25,0.49021,-0.50367,0.77471,7.30459e-06,0.619837,144,0.774715,1.99835e-06,0.619837,183
168,0.25,0.232833,0.489707,-4.1759e-07,0.77471,0.619837,149,0.774715,6.08766e-06,0.619837,161
169,0.25,-0.955818,-0.860915,-0.774711,-0.774718,1.23967,148,-0.774714,-0.774715,1.23967,243
170,0.25,-0.290014,0.96717,-5.1415e-06,0.774711,0.619837,149,-3.01187e-06,2.46908e-06,4.82978e-10,195
