t,alpha,omega
89.1,3.14159,-1.20522e-10
89.2,3.14159,-1.15352e-10
89.3,3.14159,-1.10285e-10
89.4,3.14159,-1.05323e-10
89.5,3.14159,-1.00468e-10
89.6,3.14159,-9.57214e-11
89.7,3.14159,-9.10835e-11
89.8,3.14159,-8.65555e-11
89.9,3.14159,-8.2138e-11
90,3.14159,-7.78315e-11
90.1,3.14159,-7.36363e-11
90.2,3.14159,-6.95526e-11
90.3,3.14159,-6.55802e-11
90.4,3.14159,-6.1719e-11
90.5,3.14159,-5.79686e-11
90.6,3.14159,-5.43287e-11
90.7,3.14159,-5.07985e-11
90.8,3.14159,-4.73774e-11
90.9,3.14159,-4.40646e-11
91,3.14159,-4.08591e-11
91.1,3.14159,-3.77598e-11
91.2,3.14159,-3.47657e-11
91.3,3.14159,-3.18756e-11
91.4,3.14159,-2.90881e-11
91.5,3.14159,-2.64018e-11
91.6,3.14159,-2.38154e-11
91.7,3.14159,-2.13273e-11
91.8,3.14159,-1.8936e-11
91.9,3.14159,-1.66398e-11
92,3.14159,-1.44371e-11
92.1,3.14159,-1.23261e-11
92.2,3.14159,-1.03051e-11
92.3,3.14159,-8.3724e-12
92.4,3.14159,-6.52608e-12
92.5,3.14159,-4.76433e-12
92.6,3.14159,-3.08527e-12
92.7,3.14159,-1.48704e-12
92.8,3.14159,3.2278e-14
92.9,3.14159,1.47458e-12
93,3.14159,2.8418e-12
93.1,3.14159,4.13587e-12
93.2,3.14159,5.3587e-12
93.3,3.14159,6.51224e-12
93.4,3.14159,7.5984e-12
93.5,3.14159,8.6191e-12
93.6,3.14159,9.57627e-12
93.7,3.14159,1.04718e-11
93.8,3.14159,1.13076e-11
93.9,3.14159,1.20855e-11
94,3.14159,1.28075e-11
94.1,3.14159,1.34752e-11
94.2,3.14159,1.40907e-11
94.3,3.14159,1.46556e-11
94.4,3.14159,1.51718e-11
94.5,3.14159,1.5641e-11
94.6,3.14159,1.6065e-11
94.7,3.14159,1.64454e-11
94.8,3.14159,1.6784e-11
94.9,3.14159,1.70824e-11
95,3.14159,1.73422e-11
95.1,3.14159,1.75651e-11
95.2,3.14159,1.77525e-11
95.3,3.14159,1.79061e-11
95.4,3.14159,1.80273e-11
95.5,3.14159,1.81177e-11
95.6,3.14159,1.81785e-11
95.7,3.14159,1.82114e-11
95.8,3.14159,1.82175e-11
95.9,3.14159,1.81984e-11
96,3.14159,1.81552e-11
96.1,3.14159,1.80893e-11
96.2,3.14159,1.80019e-11
96.3,3.14159,1.78942e-11
96.4,3.14159,1.77674e-11
96.5,3.14159,1.76226e-11
96.6,3.14159,1.7461e-11
96.7,3.14159,1.72836e-11
96.8,3.14159,1.70914e-11
96.9,3.14159,1.68855e-11
97,3.14159,1.66669e-11
97.1,3.14159,1.64364e-11
97.2,3.14159,1.61951e-11
97.3,3.14159,1.59437e-11
97.4,3.14159,1.56832e-11
97.5,3.14159,1.54144e-11
97.6,3.14159,1.5138e-11
97.7,3.14159,1.48548e-11
97.8,3.14159,1.45656e-11
97.9,3.14159,1.4271e-11
98,3.14159,1.39718e-11
98.1,3.14159,1.36685e-11
98.2,3.14159,1.33619e-11
98.3,3.14159,1.30524e-11
98.4,3.14159,1.27407e-11
98.5,3.14159,1.24272e-11
98.6,3.14159,1.21126e-11
98.7,3.14159,1.17973e-11
98.8,3.14159,1.14818e-11
98.9,3.14159,1.11665e-11
99,3.14159,1.08518e-11
99.1,3.14159,1.05382e-11
99.2,3.14159,1.0226e-11
99.3,3.14159,9.91556e-12
99.4,3.14159,9.60724e-12
99.5,3.14159,9.30135e-12
99.6,3.14159,8.99818e-12
99.7,3.14159,8.69802e-12
99.8,3.14159,8.40112e-12
99.9,3.14159,8.10773e-12
100,3.14159,7.81807e-12
