t,alpha,omega
91.2,3.14159,-3.4763e-11
91.3,3.14159,-3.18734e-11
91.4,3.14159,-2.90864e-11
91.5,3.14159,-2.64006e-11
91.6,3.14159,-2.38147e-11
91.7,3.14159,-2.1327e-11
91.8,3.14159,-1.89361e-11
91.9,3.14159,-1.66403e-11
92,3.14159,-1.44379e-11
92.1,3.14159,-1.23273e-11
92.2,3.14159,-1.03067e-11
92.3,3.14159,-8.37423e-12
92.4,3.14159,-6.5282e-12
92.5,3.14159,-4.76672e-12
92.6,3.14159,-3.08793e-12
92.7,3.14159,-1.48994e-12
92.8,3.14159,2.91482e-14
92.9,3.14159,1.47124e-12
93,3.14159,2.83827e-12
93.1,3.14159,4.13215e-12
93.2,3.14159,5.35482e-12
93.3,3.14159,6.5082e-12
93.4,3.14159,7.59421e-12
93.5,3.14159,8.61479e-12
93.6,3.14159,9.57184e-12
93.7,3.14159,1.04673e-11
93.8,3.14159,1.1303e-11
93.9,3.14159,1.20808e-11
94,3.14159,1.28027e-11
94.1,3.14159,1.34704e-11
94.2,3.14159,1.40858e-11
94.3,3.14159,1.46507e-11
94.4,3.14159,1.51668e-11
94.5,3.14159,1.5636e-11
94.6,3.14159,1.606e-11
94.7,3.14159,1.64404e-11
94.8,3.14159,1.6779e-11
94.9,3.14159,1.70774e-11
95,3.14159,1.73372e-11
95.1,3.14159,1.75601e-11
95.2,3.14159,1.77475e-11
95.3,3.14159,1.79011e-11
95.4,3.14159,1.80224e-11
95.5,3.14159,1.81128e-11
95.6,3.14159,1.81737e-11
95.7,3.14159,1.82066e-11
95.8,3.14159,1.82128e-11
95.9,3.14159,1.81937e-11
96,3.14159,1.81506e-11
96.1,3.14159,1.80847e-11
96.2,3.14159,1.79974e-11
96.3,3.14159,1.78898e-11
96.4,3.14159,1.7763e-11
96.5,3.14159,1.76183e-11
96.6,3.14159,1.74568e-11
96.7,3.14159,1.72795e-11
96.8,3.14159,1.70874e-11
96.9,3.14159,1.68816e-11
97,3.14159,1.6663e-11
97.1,3.14159,1.64326e-11
97.2,3.14159,1.61914e-11
97.3,3.14159,1.59401e-11
97.4,3.14159,1.56797e-11
97.5,3.14159,1.54109e-11
97.6,3.14159,1.51346e-11
97.7,3.14159,1.48516e-11
97.8,3.14159,1.45624e-11
97.9,3.14159,1.4268e-11
98,3.14159,1.39688e-11
98.1,3.14159,1.36656e-11
98.2,3.14159,1.33591e-11
98.3,3.14159,1.30497e-11
98.4,3.14159,1.2738e-11
98.5,3.14159,1.24247e-11
98.6,3.14159,1.21102e-11
98.7,3.14159,1.1795e-11
98.8,3.14159,1.14796e-11
98.9,3.14159,1.11644e-11
99,3.14159,1.08498e-11
99.1,3.14159,1.05363e-11
99.2,3.14159,1.02241e-11
99.3,3.14159,9.91381e-12
99.4,3.14159,9.60558e-12
99.5,3.14159,9.29978e-12
99.6,3.14159,8.99669e-12
99.7,3.14159,8.69661e-12
99.8,3.14159,8.39979e-12
99.9,3.14159,8.10647e-12
100,3.14159,7.81688e-12
