Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,4.4934,80,-0.945921,-4.26505,1.78431,4.12394,-0.217234,520,4.4934
Zewnetrzna,4.4934,81,0.493605,-1.16069,1.45175,4.25242,-0.217234,365,4.4934
Zewnetrzna,4.4934,82,-0.909817,-2.6602,1.55215,4.21681,-0.217234,525,4.4934
Zewnetrzna,4.4934,83,0.444689,-3.7501,1.77501,4.12795,-0.217234,770,4.4934
Zewnetrzna,4.4934,84,2.03334,-2.40794,2.85696,3.4682,-0.217234,500,4.4934
Zewnetrzna,4.4934,85,-1.4561,2.71449,1.83349,4.10231,-0.217234,315,4.4934
Zewnetrzna,4.4934,86,2.84229,4.33062,3.84574,2.32399,-0.217234,500,4.4934
Zewnetrzna,4.4934,87,3.69049,-1.07872,4.07468,1.89409,-0.217234,690,4.4934
Zewnetrzna,4.4934,88,-0.00141389,-2.76301,2.28752,3.86755,-0.217234,350,4.4934
Zewnetrzna,4.4934,89,-3.59247,-1.20391,4.30149,1.29917,-0.217234,495,4.4934
Zewnetrzna,4.4934,90,-1.21659,-0.932924,2.97596,3.36665,-0.217234,505,4.4934
Zewnetrzna,4.4934,91,1.5598,-0.990952,2.96631,3.37515,-0.217234,590,4.4934
Zewnetrzna,4.4934,92,2.22625,2.75281,2.40271,3.79706,-0.217234,510,4.4934
Zewnetrzna,4.4934,93,2.71996,2.98341,3.06916,3.2819,-0.217234,470,4.4934
Zewnetrzna,4.4934,94,-1.81515,-2.91108,2.70353,3.58909,-0.217234,455,4.4934
Zewnetrzna,4.4934,95,-2.65421,1.73233,2.33709,3.83779,-0.217234,375,4.4934
Zewnetrzna,4.4934,96,-2.68274,2.33279,3.0231,3.32438,-0.217234,325,4.4934
Zewnetrzna,4.4934,97,-3.92176,0.900846,3.85644,2.30619,-0.217234,370,4.4934
Zewnetrzna,4.4934,98,4.16599,1.01632,4.27441,1.38566,-0.217234,600,4.4934
Zewnetrzna,4.4934,99,1.64415,1.70593,2.48666,3.74262,-0.217234,345,4.4934
Zewnetrzna,4.4934,100,3.10178,-4.30536,4.10741,1.82205,-0.217234,535,4.4934
Wewnetrzna,4.4934,1,2.71835,3.31029,3.03878,3.30988,-0.217234,3500,4.49327
Wewnetrzna,4.4934,2,1.01081,2.40642,2.98236,3.36079,-0.217234,3220,4.49326
Wewnetrzna,4.4934,3,1.1455,2.75596,2.99801,3.34685,-0.217234,3215,4.49327
Wewnetrzna,4.4934,4,3.07868,1.49552,3.0751,3.27616,-0.217234,3585,4.49327
Wewnetrzna,4.4934,5,2.87877,2.89423,3.02253,3.32473,-0.217234,3385,4.49328
Wewnetrzna,4.4934,6,2.22104,1.99798,3.03151,3.31652,-0.217234,3480,4.49326
Wewnetrzna,4.4934,7,2.218,1.53206,2.92799,3.4083,-0.217234,3200,4.49328
Wewnetrzna,4.4934,8,1.41135,3.25851,3.04866,3.30078,-0.217234,3135,4.49327
Wewnetrzna,4.4934,9,2.14679,2.12588,3.04355,3.3055,-0.217234,3570,4.49328
