Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
159,0.25,-0.183642,0.987298,-2.40243e-06,0.774713,0.619837,150,-3.54862e-06,0.774715,0.619837,249
160,0.25,-0.495475,-0.428273,0.774712,-4.44028e-06,0.619837,169,-5.32995e-07,1.02898e-07,9.38316e-12,181
161,0.25,-0.904997,0.212559,-0.774717,4.54449e-06,0.619837,155,-0.774717,0.774716,1.23967,221
162,0.25,0.129546,-0.504298,-1.44768e-06,4.60748e-06,7.42717e-10,128,-1.40896e-06,7.44584e-06,1.82858e-09,193
163,0.25,0.765822,-0.6781,0.774718,-0.774719,1.23967,142,0.774715,0.774717,1.23967,157
164,0.25,0.19444,-0.914766,-2.51401e-06,-0.774721,0.619837,142,0.774708,-0.774715,1.23967,175
165,0.25,0.363737,-0.519206,0.774717,4.73227e-06,0.619837,172,0.774721,-1.04521e-05,0.619837,159
166,0.25,0.618864,0.938036,0.774717,0.774721,1.23967,149,0.774712,0.774712,1.23967,195
167,0.25,-0.96731,-0.72694,-0.774714,-0.774715,1.23967,149,-0.774716,-0.774714,1.23967,189
168,0.25,-0.0114981,-0.765912,7.01239e-06,-0.774717,0.619837,120,-7.05518e-06,-0.77472,0.619837,227
169,0.25,-0.0116716,-0.110937,1.3397e-06,-5.76354e-06,1.11491e-09,135,3.13529e-06,-1.89351e-06,4.2718e-10,201
170,0.25,-0.223544,-0.536758,-2.26089e-06,-4.35564e-08,1.62827e-10,159,1.47878e-06,-1.55095e-06,1.46229e-10,197
171,0.25,-0.320284,-0.549777,-1.89772e-06,-0.774722,0.619837,142,-2.89332e-06,-2.32337e-06,4.3845e-10,201
172,0.25,0.166897,-0.828716,-4.01904e-06,-0.774715,0.619837,171,-2.49817e-06,-0.774715,0.619837,269
173,0.25,-0.387474,-0.478008,-7.21933e-06,3.65103e-06,2.08405e-09,159,-6.49921e-08,-1.1332e-07,5.43343e-13,185
174,0.25,-0.793559,0.428884,-0.774714,0.77471,1.23967,156,-0.774712,0.77472,1.23967,157
175,0.25,-0.49071,-0.289034,-2.64099e-06,-2.19852e-06,3.76007e-10,131,-9.74402e-07,-2.40881e-06,2.14996e-10,245
176,0.25,-0.999388,-0.395707,-0.774718,-8.49085e-07,0.619837,160,-1.19204e-05,-3.49091e-06,4.91277e-09,163
177,0.25,0.923525,0.130157,0.774722,-2.50931e-07,0.619837,142,0.774715,1.15797e-06,0.619837,225
